Artist,Song
Sonny Landreth,Soul Salvation - Live
Tedeschi Trucks Band,Bird On The Wire - Live
Stevie Ray Vaughan;Double Trouble,Texas Flood - Live at Ripley's Music Hall Philadelphia PA Oct. 20 1983
Kenny Wayne Shepherd,True Lies
The Jeff Healey Band,Stop Breakin' Down - Live
Ina Forsman;Layla Zoe;Tasha Taylor,Weatherman
Philip Sayce,Steamroller / Powerful Thing - Live
Tedeschi Trucks Band,Keep On Growing - Live
The Sheepdogs,Feeling Good - Live
Dave Fields,Pocket Full of Dust (Live)
Jessy Martens and Band,Touch My Blues Away - Live
King King,Wait On Time - Live
Jonny Lang,Red Light - Live
Joe Bonamassa,Some Other Day Some Other Time - Live
B.B. King,Everyday I Have The Blues - Live (San Quentin)
Henrik Freischlader,A Better Man
Johnny Winter,Roll With Me - Live
Eric Clapton,River Of Tears - Live
Albert Cummings,Why Me - Live
Buddy Guy,Damn Right I've Got The Blues - Live
Son Seals,Crying For My Baby
Joe Bonamassa,Lonesome Whistle Blues - Live
Lonnie Mack,Camp Washington Chile/If You Have To Know
John Mayer Trio,Gravity - Live In Concert
Gary Clark Jr.,Things Are Changin' - Live
John Mayall & The Bluesbreakers;Eric Clapton;Chris Barber,Hideaway
Bernard Allison,Chills & Thrills
Tony Spinner,Freedom
Joe Bonamassa,Born Under A Bad Sign - Live
The Derek Trucks Band,Key To The Highway - Live
Mike Zito,Judgment Day
Popa Chubby,Stoop Down Baby - Live
Walter Trout and The Free Radicals,Let Me Know
Gov't Mule,Soulshine
Drake,Marvins Room
NAV;Metro Boomin,Held Me Down
Drake,Look What You've Done
A Boogie Wit da Hoodie,Still Think About You
Xxxtentacionn,I Dont Wanna Do This Anymore
Wifisfuneral,Wya?
blackbear,chateau
blackbear,do re mi
PARTYNEXTDOOR;Drake,Come and See Me (feat. Drake)
Post Malone,I Fall Apart
NAV,Lonely
Drake,Do Not Disturb
11:11,You
Russ,Ain't Nobody Takin My Baby
Clay Newton,Wrong Time
PnB Rock,Feelins
Phora,"Sinner, Pt. 2"
G-Eazy;Kehlani,Everything Will Be OK
Drake,Fake Love
Phora,Fake Smiles
Phora,Like Me
gnash;Olivia O'Brien,"i hate u, i love u (feat. olivia o'brien)"
Frank Ocean,Solo (Reprise)
Bryson Tiller,Right My Wrongs
XXXTENTACION;Kin$oul;Killstation,Slipknot
Drake,30 for 30 Freestyle
Big Sean;Jeremih,Light
Drake,Teenage Fever
eli filosov [ p h i l o ],oneofone_rwrk
Xxxtentacionn,Lets Pretend We're Numb
Trippie Redd,It Takes Time
Trippie Redd,Love Scars
Trippie Redd;UnoTheActivist,Deeply Scared
Drake;Sampha,4422
NAV,Myself
Denzel Curry,This Life
Russ,Losin Control
Drake,Too Much
J. Cole,Lost Ones
Drake,Doing It Wrong
Drake,Redemption
Frank Ocean,Thinkin Bout You
Khalid,Saved
Russ,Cherry Hill
Frank Ocean,Chanel
Flipp Dinero,Say No More
NAV;Metro Boomin,Call Me
Linkin Park,One More Light
Ten Tacion,You're Thinking Too Much
Ten Tacion,Save Me
Ten Tacion,Snow
Ten Tacion,Emoji
Healy,Unwind
Ginuwine,Differences
blackbear,i miss the old u
Drake,Lose You
blackbear,Idfc
James Arthur,Say You Won't Let Go
Khalid,Angels
Ne-Yo,Mad
YoungBoy Never Broke Again,Untouchable
The Weeknd,Six Feet Under
24hrs,Last Man
The Weeknd,Die For You
Khalid,Coaster
Jeremih;Ty Dolla $ign,Impatient
Ne-Yo,So Sick
Mario,Let Me Love You
James Bay,Let It Go
Ne-Yo,Because Of You
Future;The Weeknd,Comin Out Strong
Jeremih;J. Cole,Planez
Musiq Soulchild,Just Friends (Sunny)
Frank Ocean,Lost
Cuco,Lava Lamp
Cuco,One and Only
XXXTENTACION,King
Eminem,When I'm Gone
XXXTENTACION,Jocelyn Flores
XXXTENTACION,Depression & Obsession
XXXTENTACION,Everybody Dies In Their Nightmares
XXXTENTACION,Save Me
XXXTENTACION,Dead Inside (Interlude)
XXXTENTACION;Trippie Redd,Fuck Love (feat. Trippie Redd)
XXXTENTACION,Carry On
XXXTENTACION,Orlando
NF,How Could You Leave Us
NF,Therapy Session
Ne-Yo,Miss Independent
Drake,Jungle
Drake,Furthest Thing
Drake;Lil Wayne;André 3000,The Real Her
Drake;Jhene Aiko,From Time
Drake,Over My Dead Body
Drake,Practice
Labrinth,Jealous
Jeremih,Remember Me
Mario,How Do I Breathe
Mario Winans;Enya;Diddy,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remastered
Khalid,Reasons
H.E.R.,Jungle
H.E.R.,Losing
H.E.R.,U
H.E.R.,Focus
H.E.R.,Every Kind Of Way
H.E.R.,Avenue
H.E.R.,Gone Away
H.E.R.,I Won't
Khalid,Hopeless
A Boogie Wit da Hoodie,D.T.B. - Interlude
Khalid,Let's Go
Rich Chigga,Glow Like Dat
Phora,I Think I Love You
Khalid,Therapy
Trippie Redd,Romeo & Juliet
Trey Songz,Nobody Else But You
A Boogie Wit da Hoodie,Friend Zone
Joyner Lucas,I'm Sorry
blackbear,make daddy proud
Soulja Boy;Sammie,Kiss Me Thru The Phone
24hrs,Got It No More
Steven Jame$,Until
Jordan Bratton,Frank
Daniel Caesar;H.E.R.,Best Part (feat. H.E.R.)
Drake,Signs
Drake,Teenage Fever
blackbear;Stalking Gia,wish u the best
Elliott Yamin,Wait For You
Jason Derulo,It Girl
Macklemore;Ariana DeBoo,Drug Dealer (feat. Ariana DeBoo)
G-Eazy;Black Bear,Remember You
Akon,"Sorry, Blame It On Me - Main"
J. Cole,Love Yourz
G-Eazy;Bebe Rexha,"Me, Myself & I"
G-Eazy;Chris Brown;Tory Lanez,Drifting
G-Eazy;Quin,Think About You
Drake,Redemption
Kanye West,Real Friends
Kanye West,Frank's Track
The Weeknd;Lana Del Rey,Prisoner
Chris Brown;Jhene Aiko,Drunk Texting
Rihanna,Needed Me
Sy Ari Da Kid;Bryson Tiller,Priorities
blackbear,Verbatim
Witt Lowry,Wonder If You Wonder
Rajitheone,#WhiteGirlVoice
Ariana Grande;Big Sean,Best Mistake
J. Cole,Deja Vu
J. Cole,4 Your Eyez Only
J. Cole,For Whom The Bell Tolls
Drake;Jhene Aiko,From Time
Jhene Aiko,The Worst
Russ,We Should All Burn Together
Drake;Sampha,Too Much
Daniel Caesar;Kali Uchis,Get You (feat. Kali Uchis)
Daniel Caesar,Japanese Denim
Sam Smith,Too Good At Goodbyes
We The Kings;Elena Coats,Sad Song (feat. Elena Coats)
Shawn Mendes,Mercy
Tyler Hilton,Stay
Rob Thomas,Little Wonders
Call Me Karizma,Leave Me Alone.Sad
Lady Gaga,Million Reasons
Call Me Karizma,If I Had a Heart
Shawn Mendes,Don't Be A Fool
Call Me Karizma;Cass,F U Till I F U (feat. Cass)
Jarryd James;Raury,Do You Remember
Ed Sheeran,Photograph
DNCE,Truthfully
The 1975,If I Believe You
Andrew Belle,In My Veins - Feat. Erin Mccarley
Mike Posner,Be As You Are
David Archuleta,Crush
X Ambassadors,Unsteady
Sam Smith,Stay With Me
Michael Schulte,You'll Be Okay - Acoustic
Marion Ravn,Here I Am
nilu,How to Save a Life
Florence + The Machine,Never Let Me Go
Birdy,Skinny Love
Ron Pope,A Drop In The Ocean
Demi Lovato,Fix A Heart
Lady Antebellum,Just A Kiss
Rihanna,What Now
Jessie J,Who You Are
Michael Schulte,You Said You'd Grow Old With Me
Snow Patrol,Run - Revised Album Version
Selena Gomez,Love Will Remember
Christina Perri,Jar of Hearts
Love Ballads Unlimited,I Can't Break It To My Heart (Made Famous by Delta Goodrem)
Christina Perri,human
John Legend,All of Me
Jessica Lowndes,Goodbye
A Great Big World;Christina Aguilera,Say Something
Jason Walker,Down
Jason Walker,Echo
Christina Perri,A Thousand Years
Martina McBride,Concrete Angel
Miley Cyrus,When I Look At You
Timbaland;OneRepublic,Apologize
Troye Sivan,Gasoline
The Script,Superheroes
The Fray,How to Save a Life
A Fine Frenzy,Almost Lover
Ellie Goulding,Beating Heart
Jason Walker,Kiss Me
Jonatha Brooke,I'll Try
Christina Perri,sad song
My Chemical Romance,Cancer
James Blunt,Shine On
James Blunt,Bonfire Heart
James Blunt,You're Beautiful
James Blunt,Goodbye My Lover
The Script,For the First Time
Nickelback,Savin' Me
Maddie Wilson,They Don't Know About Us
Colbie Caillat,Try
Coldplay,Fix You
Band of Horses,The Funeral
The Afters,Light Up The Sky
Shawn Mendes,The Weight
Kodaline,All I Want
Elsa & Emilie,Run
Gavin DeGraw,Jealous Guy - Acoustic
Nickelback,Far Away
Nickelback,Lullaby
Rascal Flatts,What Hurts The Most
Lifehouse,You And Me
Bastille,Overjoyed
Plumb,Cut
Katy McAllister,Here's To The Heartbreakers (Acoustic)
Jason Mraz,I Won't Give Up
Jesse McCartney,Beautiful Soul
Ed Sheeran,Thinking Out Loud
Digital Daggers,The Devil Within
Mila J,"Smoke, Drink, Break-Up"
The 1975,Medicine
Mayday Parade,Miserable At Best
Hozier,Take Me To Church
Sam Smith,Not In That Way
Ron Pope,Everything
Britney Spears,Everytime
Ghost Loft,So High
The Script,Six Degrees of Separation
The Neighbourhood;French Montana,#icanteven
The Fray,You Found Me
Kat Dahlia,I Think I'm In Love
Ellie Goulding,I Know You Care
3 Doors Down;Jack Joseph Puig,Here Without You
Westlife,You Raise Me Up
XYL?,America
M83,Wait
Ed Sheeran,The A Team
Ne-Yo,So Sick
Lifehouse,Everything
U2,One
The Goo Goo Dolls,Iris
Sia,Breathe Me
Lauren O'Connell,The Same Things
James Arthur,Impossible
P!nk,Try
James Arthur;Chasing Grace,Certain Things
NF;Fleurie,Mansion
Shawn Mendes,Imagination
Avril Lavigne,When You're Gone
Joe Brooks;Tammin Sursok,Say Something
Jasmine V,Didn't Mean It
MIIA,Dynasty
Oh Wonder,All We Do
Snow Patrol,Chasing Cars
gnash;Olivia O'Brien,I Hate U I Love U (feat. Olivia O'Brien)
Ruth B.,Lost Boy
Halsey,Coming Down
AURORA,Half The World Away
The Cinematic Orchestra,To Build A Home
Lana Del Rey,Summertime Sadness
Nirvana,Something In The Way
The Script,If You Could See Me Now
Lily Allen,Somewhere Only We Know
Ed Sheeran,Afire Love
Oh Wonder,Livewire
Daughter,Youth
James Bay,Let It Go
Shawn Mendes,A Little Too Much
Kodaline,All I Want
Jimmy Eat World,Hear You Me
Iron & Wine,"Flightless Bird, American Mouth"
Trenton,Found
Milly & Tash,Little Do You Know
Daughter,How
AURORA,Runaway
Lana Del Rey,Born To Die
Nicki Minaj;Skylar Grey,Bed Of Lies
A Great Big World;Christina Aguilera,Say Something
blackbear,Hotel Andrea
Birdy,Not About Angels
Kehlani,The Letter
Shontelle,Impossible - Main
blackbear,N Y L A
Daughter,Smother
NF,Paralyzed
Band of Horses,The Funeral
The Cinematic Orchestra,That Home
Jaymes Young,Moondust
Zedd;Matthew Koma;Miriam Bryant,Find You - Acoustic - Live In Los Angeles
Robot Koch;John Lamonica,Nitesky feat. John LaMonica
NF;Britt Nicole,Can You Hold Me
Fleurie,Hurts Like Hell
Alicks,Help Me Out
Extreme,More Than Words
Aqualung;Kina Grannis,To the Wonder
Joel Adams,Please Don't Go
LC Gunn,Dust
Snow Patrol,Shut Your Eyes
Ludovico Einaudi,Una Mattina
P!nk,F**kin' Perfect
gnash;Olivia O'Brien,"i hate u, i love u (feat. olivia o'brien)"
Alessia Cara,Here
Keith Urban,That Could Still Be Us
Bea Miller,yes girl
Rob Thomas,Pieces - Radio Mix
Leona Lewis,Bleeding Love
Ben Cocks feat. Nikisha Reyes-Pile,So Cold (The Good Wife trailer)
Oh Wonder,Lose It
The Cab,Numbers
Peter Bradley Adams,Always
The Fray,Happiness
gnash;RKCB,feelings fade
gnash,tell me it's okay
Troye Sivan,Happy Little Pill
James TW,When You Love Someone
Astrid S,Hurts So Good
Alessia Cara,Scars To Your Beautiful
Olivia O'Brien,Trust Issues
Swell,I'm sorry (feat. shiloh)
MIIA,Dynasty
BANNERS,Ghosts
Ólafur Arnalds;Nils Frahm,20:17
Angus Maude,Tattoos
Angus Maude,No Good
Rascal Flatts,I Won't Let Go
Robot Koch;John Lamonica,Nitesky feat. John LaMonica
The Paper Kites,Bloom - Bonus Track
The Paper Kites,I Done You so Wrong
The Paper Kites,Paint
Steve Anderson,"Suite Bergamasque, L. 75: III. Claire De Lune"
Bruno Mars,It Will Rain
Ólafur Arnalds;Nanna Bryndís Hilmarsdóttir,Particles
Alan Walker,Faded (Restrung)
Andrew James;Jaimee Harris,Shoreline (feat. Jaimee Harris)
Christina Grimmie,With Love
James Arthur,Say You Won't Let Go
Stephen,Sincerely
Kehlani,You Should Be Here
Lana Del Rey,Young And Beautiful
Ed Sheeran,All Of The Stars
Oh Wonder,Shark
RY X,Berlin
Nicki Minaj,Grand Piano
Haley Reinhart,Can't Help Falling in Love
Matthew Mayfield,History
Luca Fogale,Villains
blackbear,Valley Girls
Billie Eilish,Six Feet Under
Oh Wonder,Technicolour Beat
RHODES,Your Soul
Billie Eilish,ocean eyes
Troye Sivan;Alex Hope,BLUE
TENDER,Outside
SYML,Where's My Love
Tyler Hilton,Next to You
Kyle Olthoff;Courtney Curdy,I Wouldn't Mind
Ollie;X Ambassadors,Unsteady
Jon Bellion,All Time Low
The Fray,Never Say Never
Olivia O'Brien,Complicated
Tom Odell,Sirens
Tall Heights,Spirit Cold
Julia Michaels,Issues
Madilyn Bailey,Radioactive
Noah Kahan,Young Blood
Jasmine Thompson,I See Fire
Madilyn Bailey,Wildest Dreams
Jasmine Thompson,Breathe Me
Tedy,Can I
Ruth B.,Superficial Love
Daughter,Smother
James Blunt,You're Beautiful
Kodaline,Love Like This - Acoustic
Alessia Cara,Scars To Your Beautiful
Daughter,Medicine
Switchfoot,Dare You to Move
Bea Miller,burning bridges
Bea Miller,i can't breathe
Sleeping At Last,Turning Page
Emeli Sandé,"Read All About It, Pt. III"
Oh Wonder,White Blood
X Ambassadors;Erich Lee,Unsteady - Erich Lee Gravity Remix
Bastille,Oblivion
Yiruma,River Flows In You - Original
Ella Eyre,We Don't Have To Take Our Clothes Off
Passenger,Let Her Go
Ellie Goulding,How Long Will I Love You - Bonus Track
Sam Smith,I'm Not The Only One
Maroon 5,She Will Be Loved
Vampyre Moon,"Run (From ""The Vampire Diaries"")"
The Band Perry,If I Die Young
Ed Sheeran,Happier
Jason Walker,Echo
Tyler Hilton,Missing You
Justin Bieber,Purpose
X Ambassadors,Hoping
mansionz,Gorgeous
Christopher Wilde;Stubby,Hero (Unplugged)
Christopher Wilde,What You Mean To Me
Susanne Sundf?r,The Brothel
RY X,Berlin
The Last Dinosaur,Gusts of Wind Blowing in Different Directions
Erik Satie;Alexandre Tharaud,Première Gymnopédie
Seafret,Oceans
Conrad Sewell,Start Again
Avril Lavigne,Keep Holding On
Mayday Parade,Miserable At Best
Bon Iver,Skinny Love
Train,Drops of Jupiter
Lana Del Rey,Dark Paradise
Miley Cyrus,The Climb
P!nk;Nate Ruess,Just Give Me a Reason
Troye Sivan,The Fault in Our Stars
Halsey,Sorry
Emeli Sandé,Sweet Architect
Bastille,Bad Blood - Live Piano Version
Sakura,Stale Love
Bea Miller,i can't breathe
Jaymes Young,Stone
Tom Odell,Heal
Calum Scott,Dancing On My Own
Labrinth,Jealous
Lord Huron,The Night We Met
Alessia Cara,River Of Tears
Ed Sheeran,Supermarket Flowers
Gavin James,Nervous - Acoustic
Ed Sheeran,Perfect
Maurice Moore,The Loudest Silence
Emeli Sandé,Sweet Architect
Snow Patrol;Martha Wainwright,Set The Fire To The Third Bar
Lauv,The Other
Lauv,The Story Never Ends - Piano Version
Lauv,Reforget
Jessie Ware,Hearts
Jessie Ware,Thinking About You
OneRepublic,Apologize
Ron Pope,A Drop In The Ocean
Snow Patrol,Chasing Cars
The Fray,How to Save a Life
Gavin DeGraw,Not Over You
Maroon 5,She Will Be Loved
Hannah Montana,I'll Always Remember You
The Fray,You Found Me
Céline Dion;James Horner,"My Heart Will Go On - Love Theme from ""Titanic"""
R. Kelly,The World's Greatest - Radio Edit
Israel Kamakawiwo'ole,Over the Rainbow
Ariana Grande;Nathan Sykes,Almost Is Never Enough
Miley Cyrus,I Miss You
Christina Perri,Jar of Hearts
Miley Cyrus,The Climb
OneRepublic,Secrets
OneRepublic;Alesso,If I Lose Myself - Alesso vs OneRepublic
Elton John,Can You Feel The Love Tonight
Justin Bieber;Rascal Flatts,That Should Be Me
Justin Bieber,Fall - Live
Justin Bieber,Nothing Like Us - Bonus Track
Wiz Khalifa;Charlie Puth,See You Again (feat. Charlie Puth)
Jason Mraz,I'm Yours
Rachel Platten,Fight Song
Train,"Hey, Soul Sister"
Plain White T's,Hey There Delilah
Miley Cyrus,When I Look At You
Coldplay,Viva La Vida
Justin Bieber;Jessica Jarrell,Overboard
Zac Brown Band,Goodbye In Her Eyes
Maroon 5,Sunday Morning
Sam Smith;John Legend,Sam Smith - I'm Not The Only One (Lyrics On Screen)
Ed Sheeran,Lay Me Down
Ed Sheeran,Photograph
Sam Smith,Thinking Out Loud
Frank Ocean,Like I Can
Jonas Brothers,Thinkin Bout You
Usher;Alicia Keys,Lovebug
Ne-Yo,My Boo
Meghan Trainor,Because Of You
Maroon 5,Dear Future Husband
Sean Kingston,This Love
Sam Smith,Beautiful Girls
Bruno Mars,Leave Your Lover
Train,Grenade
A Great Big World;Christina Aguilera,Drops of Jupiter
Sam Smith,Say Something
Passenger,Lay Me Down
Bruno Mars,Let Her Go
Bruno Mars,When I Was Your Man
Zac Brown Band,Talking To The Moon
Bad Meets Evil;Bruno Mars,Colder Weather
Meghan Trainor;John Legend,Lighters
Sara Bareilles,Like I'm Gonna Lose You
R. City;Adam Levine,Love Song
Maroon 5,Locked Away
Bruno Mars,Sad
Anna Nalick,Young Girls
Ariana Grande,Breathe (2 AM)
Beyoncé,Just A Little Bit Of Your Heart
A Great Big World;Christina Aguilera,I Miss You
Bruno Mars,Say Something
John Mayer,It Will Rain
Jason Mraz,Say
Rihanna;Mikky Ekko,I Won't Give Up
The Weeknd,Stay
The Weeknd;Ed Sheeran,Angel
Madilyn Bailey,Dark Times
Justin Timberlake,Wildest Dreams
All Time Low,Cry Me a River
Usher,Missing You
Daniel Powter,Climax
Elton John,Bad Day
Miley Cyrus,Your Song
Lana Del Rey,Stay
One Direction,Young And Beautiful
One Direction,You & I
Adele,Infinity
Adele,Someone Like You
One Direction,Turning Tables
Ed Sheeran,Night Changes
Adele,The A Team
Shawn Mendes,Hello
Sam Hunt,Stitches
Sam Hunt,Break Up In A Small Town
Leona Lewis,Single For The Summer
Fergie,Better in Time
Michael Jackson,Big Girls Don't Cry (Personal)
One Direction,You Are Not Alone
One Direction,If I Could Fly
Seal,Love You Goodbye
Sam Smith,Every Time I'm With You
Sam Smith,Stay With Me
5 Seconds of Summer,I'm Not The Only One
Justin Bieber,Amnesia
Justin Bieber,Pray
Justin Bieber,Stuck In The Moment
Charlie Puth,Born To Be Somebody
Kings of Leon,One Call Away
The Band Perry,Use Somebody
Lady Antebellum,If I Die Young
Alicia Keys,Need You Now
Adele,No One
Zara Larsson;MNEK,When We Were Young
Lil Wayne,Never Forget You
Justin Bieber,How To Love
Justin Bieber,Sorry
Cole Swindell,Purpose
One Direction,You Should Be Here
Drake,Perfect - Stripped
Gotye;Kimbra,Marvins Room
Jason Derulo,Somebody That I Used To Know
Beyoncé,Whatcha Say
Andra Day,Halo
Mariah Carey,Rise Up
John Legend,We Belong Together
Miley Cyrus,All of Me
Christina Perri,Adore You
Beyoncé,human
Alicia Keys,If I Were a Boy
Hannah Montana,If I Ain't Got You
Rihanna;Eminem,Ordinary Girl
Ruth B.,Love The Way You Lie (Part II) - Pt. 2
Howie Day,Lost Boy
Five For Fighting,Collide
Ingrid Michaelson,100 Years
Christina Perri,Keep Breathing
Troy And Gabriella,A Thousand Years
Justin Bieber,Gotta Go My Own Way
James Bay,Down To Earth
gnash;Olivia O'Brien,Let It Go
Rod Stewart,"i hate u, i love u (feat. olivia o'brien)"
Céline Dion,Have I Told You Lately - 2008 Remastered Version
OneRepublic,Because You Loved Me
Hannah Montana,I Lived
Michael Bublé,Wherever I Go
Josh Groban,You Don't Know Me
Jordin Sparks;Chris Brown,You Raise Me Up
Justin Bieber,No Air
Rihanna,Be Alright
James Blunt,Take A Bow
Shawn Mendes,You're Beautiful
Zac Brown Band,A Little Too Much
Robin Berrygold,Bittersweet
Labrinth,I Keep Going to the River to Pray
Demi Lovato,Jealous
Justin Bieber,Skyscraper
Ella Eyre,Life Is Worth Living
Sia,We Don't Have To Take Our Clothes Off
Coldplay,Breathe Me
James Blunt,Fix You
Beyoncé,Goodbye My Lover
Christina Aguilera,Best Thing I Never Had
We The Kings;Elena Coats,Hurt
Ed Sheeran,Sad Song
Leona Lewis,All Of The Stars
Shawn Mendes,Bleeding Love
James Arthur,Life Of The Party
Rihanna,Impossible
Jessie J,California King Bed
Beyoncé,Who You Are
Ed Sheeran,Broken-Hearted Girl
Rascal Flatts,Give Me Love
X Ambassadors,What Hurts The Most
ZAYN,Unsteady
John Legend,fOoL fOr YoU
Niall Horan,Love Me Now
Justin Bieber,This Town
One Direction,Never Let You Go
Justin Bieber;Chris Brown,More Than This
Jonas Brothers,Up
Lifehouse,When You Look Me in the Eyes
Miley Cyrus,You And Me
Ellie Goulding,Goodbye
Ariana Grande,How Long Will I Love You - Bonus Track
Kodaline,My Everything
Ne-Yo,All I Want
Shawn Mendes,So Sick
Nicki Minaj,The Weight
Ruelle,Grand Piano
Eminem;Rihanna,I Get to Love You
Post Malone,Love The Way You Lie
Secondhand Serenade,I Fall Apart
Drake,Fall For You
Keith Urban,Doing It Wrong
Lady Gaga,Blue Ain't Your Color
Bruno Mars,Million Reasons
New Kids On The Block,Versace On The Floor
The Weeknd,I'll Be Loving You (Forever)
Kanye West;Paul McCartney,Nothing Without You
Labrinth;Emeli Sandé,Only One
J. Cole,Beneath Your Beautiful
High School Musical Cast;Vanessa Hudgens;Zac Efron,Note to Self
Elvis Presley,Can I Have This Dance
Lonestar,Can't Help Falling in Love
Andy Grammer,Amazed
Justin Bieber,Keep Your Head Up
Rihanna,U Smile
Adele,Unfaithful
Rihanna;Ne-Yo,All I Ask
Drake;Majid Jordan,Hate That I Love You
Céline Dion;Ne-Yo,"Hold On, We're Going Home"
Thompson Square,Incredible
Justin Bieber,If I Didn't Have You
The Script,Fall
Panic! At The Disco,For the First Time
James Arthur,Always
Noah Cyrus;Labrinth,Say You Won't Let Go
Lana Del Rey,Make Me (Cry)
Ed Sheeran,Love
Ed Sheeran,Hearts Don't Break Around Here
Ed Sheeran,Perfect
Ed Sheeran,Happier
Conrad Sewell,Supermarket Flowers
Kodaline,Start Again
James Arthur,All I Want
Brett Young,Say You Won't Let Go
Tori Kelly;Ed Sheeran,In Case You Didn't Know
Shawn Mendes,I Was Made For Loving You
Harry Styles,Running Low
Calum Scott,Sign of the Times
Bastille,Dancing On My Own
Demi Lovato,Oblivion
Logic;Alessia Cara;Khalid,Stone Cold
Nicki Minaj,1-800-273-8255
Rihanna,Grand Piano
Avril Lavigne,What Now
Oh Wonder,When You're Gone
Nicki Minaj;Skylar Grey,All We Do
Adele,Bed Of Lies
Sam Smith,Make You Feel My Love
Brett Eldredge,Latch - Acoustic
Shawn Hook;Vanessa Hudgens,Castaway
MAX;gnash,Reminding Me
Khalid,Lights Down Low
James TW,Another Sad Love Song
Sam Smith,When You Love Someone
Justin Bieber,Not In That Way
Tyler Adair,That Should Be Me - Acoustic Version
Lee Brice,You'll Miss Me Someday
Lord Huron,I Don't Dance
Taylor Swift,The Night We Met
Bryson Tiller,Back To December
Macklemore;Kesha,Right My Wrongs
Alex & Sierra,Good Old Days (feat. Kesha)
James Arthur,Little Do You Know
Taylor Swift,Can I Be Him
Sam Smith,Love Story
Coldplay,Too Good At Goodbyes
Kesha,The Scientist
Haley Reinhart,Can't Help Falling in Love
Sam Smith;John Legend,Lay Me Down
Passenger,Let Her Go
Plain White T's,Hey There Delilah
A Great Big World;Christina Aguilera,Say Something
Little Big Town,Girl Crush
Adele,Someone Like You
Sam Smith,Stay With Me
Birdy,Skinny Love
Snow Patrol,Chasing Cars
Ron Pope,A Drop In The Ocean
Troye Sivan,The Fault in Our Stars
