,Artist,Song,lyrics
10,Thomas Daniel,Scared To Be Lonely - Acoustic,-1
11,Caroline Pennell,Follow the Sun - Acoustic,-1
12,Daniela Andrade & New Heights,Just Give Me a Reason,-1
13,The Staves,I'm On Fire,-1
14,Colin & Caroline,Let It Go,-1
15,The Sweeplings,Chains,-1
16,Thyra,Ho Hey - Acoustic version,-1
17,Sara Farell,Somebody Else - Acoustic,-1
18,The White Raven,Headlights,-1
19,The Civil Wars,Billie Jean,"She was more like a beauty queen from a movie scene
I said, ""Don't mind, but what do you mean I am the one
Who will dance on the floor in the round?""
She said I am the one who will dance on the floor in the round

She told me her name was Billie Jean as she caused a scene (Ooh)
Then every head turned with eyes that dreamed of being the one,
Who will dance on the floor in the round

People always told me, be careful what you do (Ooh)
Don't go around breaking young girls' hearts (No!)
And mother always told me, be careful who you love
Be careful what you do, the lie becomes the truth (Hey)

Billie Jean is not my lover,
She's just a girl who claims that I am the one
The kid is not my son,
She says I am the one
But the kid is not my son

For forty days and for forty nights, law was on her side
But who can stand when she's in demand, her schemes and plans (Ooh)
'Cause we danced on the floor in the round,
So take my strong advice
Just remember to always think twice (Oh, think twice)
She told my baby we'd danced till three, then she looked at me
Then showed a photo, my baby cried, his eyes looked like mine, (Oh no)
'Cause we dance on the floor in the round.

People always told me, be careful what you do, (Ooh)
Don't go around breaking young girls' hearts (No)
She came and stood right by me, because the smell of sweet perfume
It happened much too soon, she called me to her room
Hey-ey!

Billie Jean is not my lover
She's just a girl who claims that I am the one,
But the kid is not my son
She says I am the one,
But the kid is not my son

So, Billie Jean is not my lover, (She just a girl)
Billie Jean' is not my lover, (She just a girl)
Billie Jean is not my lover..."
20,Tore Bojsten,Girl at Coachella,-1
21,Jasmine Thompson,Pompeii,"I was left to my own devices
Many days fell away with nothing to show

And the walls kept tumbling down
In the city that we love
Great clouds roll over the hills
Bringing darkness from above

But if you close your eyes,
Does it almost feel like
Nothing changed at all?
And if you close your eyes,
Does it almost feel like
You've been here before?
How am I gonna be an optimist about this?
How am I gonna be an optimist about this?

We were caught up and lost in all of our vices
In your pose as the dust settles around us

And the walls kept tumbling down
In the city that we love
Great clouds roll over the hills
Bringing darkness from above

But if you close your eyes,
Does it almost feel like
Nothing changed at all?
And if you close your eyes,
Does it almost feel like
You've been here before?
How am I gonna be an optimist about this?
How am I gonna be an optimist about this?

Oh where do we begin?
The rubble or our sins?
Oh where do we begin?
The rubble or our sins?

And the walls kept tumbling down
In the city that we love
Great clouds roll over the hills
Bringing darkness from above

But if you close your eyes,
Does it almost feel like
Nothing changed at all?
And if you close your eyes,
Does it almost feel like
You've been here before?
How am I gonna be an optimist about this?
How am I gonna be an optimist about this?

If you close your eyes, does it almost feel like nothing changed at all?"
22,Linn Brikell,Crazy - Acoustic,-1
23,Sam Smith,Not In That Way,"And I hate to say I love you
When it's so hard for me
And I hate to say I want you
When you make it so clear
You don't want me

I'd never ask you cause deep down
I'm certain I know what you'd say
You'd say I'm sorry believe me
I love you but not in that way

And I hate to say I need you
I'm so reliant
I'm so dependant
I'm such a fool

When you're not there
I find myself singing the blues
Can't bear
Can't face the truth

You will never know that feeling
You will never see through these eyes

I'd never ask you
Cause deep down I'm certain I know what you'd say
You'd say I'm sorry
Believe me
I love you
But not in that way

You'd say I'm sorry
Believe me
I love you
But not in that way"
24,The Mayries,Waterfall - Acoustic,-1
25,Frances,Say It Again - Acoustic,-1
26,Chris Call,I Feel It Coming - Acoustic Version,-1
27,Kurt Hugo Schneider;Sam Tsui;Madilyn Bailey;Alex G,Send My Love (To Your New Lover),-1
28,Daniela Andrade,Crazy in Love,-1
29,Thyra,Ugly Heart,-1
30,Mysha Didi,Crazy,-1
31,Kacey Musgraves,Apologize (Acoustic Version),-1
32,Tracy Chapman,The Promise,"If you wait for me
Then I'll come for you
Although I'll travel far
I always hold a place for you in my heart

If you think of me
If you miss me once in a while
Then I'll return to you
I'll return and fill that space in your heart

Remembering
Your touch, your kiss, your warm embrace
I'll find my way back to you
If you'll be waiting

If you dream of me
Like I dream of you
In a place that's warm and dark
In a place where I can feel the beating of your heart

Remembering
Your touch, your kiss, your warm embrace
I'll find my way back to you
If you'll be waiting

Oh, I’ve longed for you
And I have desired
To see your face, your smile
To be with you wherever you are

Remembering
Your touch, your kiss, your warm embrace
I'll find my way back to you
Please say you'll be waiting

Together again
It would feel so good to be
In your arms
Where all my journeys end
If you can make a promise
If it's one that you can keep
I vow to come for you
If you wait for me

And say you'll hold
A place for me
In your heart

A place for me in your heart
A place for me in your heart
A place for me in your heart"
33,gnash;Olivia O'Brien,"i hate u, i love u (feat. olivia o'brien)","Feeling used
But I'm
Still missing you
And I can't
See the end of this
Just wanna feel your kiss
Against my lips
And now all this time
Is passing by
But I still can't seem to tell you why
It hurts me every time I see you
Realize how much I need you

I hate you I love you
I hate that I love you
Don't want to, but I can't put
Nobody else above you
I hate you I love you
I hate that I want you
You want her, you need her
And I'll never be her

I miss you when I can't sleep
Or right after coffee
Or right when I can't eat
I miss you in my front seat
Still got sand in my sweaters
From nights we don't remember
Do you miss me like I miss you?
Fucked around and got attached to you
Friends can break your heart too, and
I'm always tired but never of you
If I pulled a you on you, you wouldn't like that shit
I put this reel out, but you wouldn't bite that shit
I type a text but then I nevermind that shit
I got these feelings but you never mind that shit
Oh oh, keep it on the low
You're still in love with me but your friends don't know
If you wanted me you would just say so
And if I were you, I would never let me go
I don't mean no harm
I just miss you on my arm
Wedding bells were just alarms
Caution tape around my heart
You ever wonder what we could have been?
You said you wouldn't and you fucking did
Lie to me, lie with me, get your fucking fix
Now all my drinks and all my feelings are all fucking mixed
Always missing people that I shouldn't be missing
Sometimes you gotta burn some bridges just to create some distance
I know that I control my thoughts and I should stop reminiscing
But I learned from my dad that it's good to have feelings
When love and trust are gone
I guess this is moving on
Everyone I do right does me wrong
So every lonely night, I sing this song

I hate you I love you
I hate that I love you
Don't want to, but I can't put
Nobody else above you
I hate you I love you
I hate that I want you
You want her, you need her
And I'll never be her

All alone I watch you watch her
Like she's the only girl you've ever seen
You don't care you never did
You don't give a damn about me
Yeah all alone I watch you watch her
She's the only thing you've ever seen
How is it you never notice
That you are slowly killing me

I hate you I love you
I hate that I love you
Don't want to, but I can't put
Nobody else above you
I hate you I love you
I hate that I want you
You want her, you need her
And I'll never be her"
34,Mike Posner,Be As You Are - Acoustic,-1
35,Chris Call,Stitches - Acoustic Version,-1
36,Walk Off the Earth,Teenage Dirtbag,-1
37,Joshua Radin,Falling,"I built a place for you to land
Can you see it now
From where you stand?
You may think the fall is just too far
When you leap
You see who you really are
And if you jump now
I know you'll survive
You see it's a beautiful ride

When you're high
Flying through the sky
And on your way down
The sound of a new day
Calls you from the ground

I need to know what you mean
Would you fight for us
Or will you walk away?
All I can say is don't be afraid
It's not where you laid your head before
It's where it lay
So when I catch you I will never let go
Just don't forget I'm down below

When you're high
Flying through the sky
And on your way down
The sound of a new day
Calls you from the ground

I wanna know what you see
When you're falling
Do you think of me?
Are you the road or the end?
Either way you're my best friend
So when I catch you I'll never let you go
Just don't forget I'm down below

When you're high
Flying through the sky
And on your way down
The sound of a new day
Calls you from the ground

She's gonna be high
Flying through the sky
On her way down
The sound of a new day
Calls her from the ground

I built a place for you to land
Can you see it now?"
38,The Mayries,Black Beatles - Acoustic,-1
39,Anna Of The North,Baby,"Baby, are you home alone?
I need to know if we're still on
I know we've been hurting lately
You see, you came in like a thunderstorm
Electric shivers shooting through my bones
You make my heart start beating in my chest
Baby, hold tight
Baby, I just wanna know
Am I still the one you think you know?
Cause you kept me anticipating
Just tell me what you need, dear
And baby, that's what I'll do
You make my heart start beating in my chest
Baby, hold tight
You make my heart start beating in my chest
Baby, hold tight
Baby, I just wanna know
There's a ghost in my bed
The place you once rest your head
Don't fight it
Baby, I just wanna know
Just come home, this is where you belong
Don't fight it, don't fight it
Baby, are you home alone?
I need to know if we're still on
Don't fight it
I know we've been hurting lately
You see, you came in like a thunderstorm (You came in)
Electric shivers shooting through my bones (You came in)
You make my heart start beating in my chest
Baby, hold tight
Don't fight it
Baby, hold tight
Don't fight it
Baby, hold tight
Don't fight it
Baby, hold tight
Don't fight it
Baby, hold tight"
40,Sweetfire,Bang My Head - Radio Version,-1
41,Hamilton,I'm Not The Only One - Acoustic Version,-1
42,Ellie Goulding,Your Song,"It's a little bit funny, this feeling inside
I'm not one of those who can easily hide
I don't have much money, but boy if I did
I'd buy a big house where we both could live

So excuse me forgetting, but these things I do
See I've forgotten if they're green or they're blue
Anyway the thing is what I really mean
Yours are the sweetest eyes I've ever seen

And you can tell everybody this is your song
It may be quite simple, but now that it's done
I hope you don't mind, I hope you don't mind that I put down in words
How wonderful life is now you're in the world

If I was a sculptor, but then again no
Or a girl who makes potions in a traveling show
I know it's not much, but it's the best I can do
My gift is my song, and this one's for you

And you can tell everybody this is your song
It may be quite simple, but now that it's done
I hope you don't mind, I hope you don't mind that I put down in words
How wonderful life is now you're in the world"
43,Tiago Iorc,My Girl,"I've got sunshine on a cloudy day.
When it's cold outside I've got the month of May.
Well, I guess you'd say
What can make me feel this way?
My girl
Talkin' 'bout my girl
My Girl

I've got so much honey the bees envy me.
I've got a sweeter song than the birds from the trees.
I guess you'd say
What can make me feel this way?
My girl
Talkin' 'bout my girl
My girl
Talkin' 'bout my girl
Talkin' 'bout my girl
My girl

I've got sunshine on a cloudy day.
When it's cold outside I've got the month of May.
Well, I guess you'd say
What can make me feel this way?
My girl
Talkin' 'bout my girl
My Girl
Talkin' 'bout my girl
Talkin' 'bout my girl
My girl"
44,Sweetfire,Faded - Acoustic Version,-1
45,Warpaint,Teese,"All you see
You don't want to see
You can't seem to avoid
When you're trying to be right
On this trespassed life where
You don't seem yo care
And you're making the motions to be aware
As to why you're here

All that the countless moments
Ask of the countless thoughts
Trying to figure me out
That never seemed to come around
Till I got to that part of you
That's me

Nah nah nah nah nah
Nah nah nah nah nah
Nah nah nah nah nah
Nah nah nah nah nah

I mean more now
I want more now
I'm in heaven
I'm in heaven now

You're so golden
I'm so golden now

I want more now
I want more now

Looked out at the moon tonight
I can't get enough
You're hand as it starts to touch
I can't get enough

Lie down, lie down

Nah nah nah nah nah
Nah nah nah nah nah
Nah nah nah nah nah
Nah nah nah nah nah
You are so beautiful
Nah nah nah nah nah
You are so beautiful
Nah nah nah nah nah..."
46,Edwin McCain,I'll Be - Acoustic Version,-1
47,Hamilton,Don't Dream It's Over - Acoustic Version,-1
48,Oliver Riot,Neurosis,-1
49,Colin & Caroline,Hello,-1
50,Zedd;Matthew Koma;Miriam Bryant,Find You - Acoustic - Live In Los Angeles,-1
51,Barfalk,Hands To Myself - Acoustic Version,-1
52,Hamilton,Heroes - Acoustic Version,-1
53,Ryan Montbleau;Tall Heights,Fast Car (feat. Tall Heights),-1
54,Maverick,Shower - Acoustic Version,-1
55,Two Worlds,Wrecking Ball - Acoustic,-1
56,Astrid S,Running Out - Live From The Studio / 2016,-1
57,Alex G;Kady Z,Radioactive,-1
58,Megan Davies,Summertime Sadness (Acoustic Cover) Feat. Keelan Donovan,"Kiss me hard before you go 
Summertime sadness 
I just wanted you to know 
That, baby, you're the best 
I got my red dress on tonight 
Dancing in the dark in the pale moonlight 
Done my hair up real big beauty queen style 
High heels off, I'm feeling alive 
Oh, my God, I feel it in the air 
Telephone wires above are sizzling like a snare 
Honey, I'm on fire, I feel it everywhere 
Nothing scares me anymore 

Nothing scares me anymore 
Kiss me hard before you go 
Summertime sadness 
I just wanted you to know 
That, baby, you're the best 
I got that summertime, summertime sadness 
S-s-summertime, summertime sadness 
Got that summertime, summertime sadness 
Oh, oh, oh, oh, oh 
I'm feelin' electric tonight 
Cruising down the coast goin' 'bout 99 
Got my bad baby by my heavenly side 
I know if I go, I'll die happy tonight 
Oh, my God, I feel it in the air 
Telephone wires above are sizzling like a snare 
Honey, I'm on fire, I feel it everywhere 
Nothing scares me anymore 
Kiss me hard before you go 
Summertime sadness 
I just wanted you to know 
That, baby, you're the best 
I got that summertime, summertime sadness 
S-s-summertime, summertime sadness 
Got that summertime, summertime sadness 
Oh, oh, oh, oh, oh 
Think I'll miss you forever 
Like the stars miss the sun in the morning sky 
Later's better than never 
Even if you're gone I'm gonna drive (drive, drive) 
I got that summertime, summertime sadness 
S-s-summertime, summertime sadness 
Got that summertime, summertime sadness 
Oh, oh, oh, oh, oh 
Kiss me hard before you go 
Summertime sadness 
I just wanted you to know 
That, baby, you're the best 
I got that summertime, summertime sadness 
S-s-summertime, summertime sadness 
Got that summertime, summertime sadness 
Oh, oh, oh, oh, oh"
59,Josh Rouse,The Oce,-1
