Artist,Song
Goldroom;S L L,Sweetness Alive (feat. S L L)
Bloc Party,Banquet
Bloc Party,Helicopter
Bloc Party,Talons
Little Dragon,Ritual Union
Chairlift,I Belong in Your Arms - Japanese Version
Chairlift,I Belong in Your Arms
Tahiti 80,Easy
Icona Pop;Charli XCX,I Love It (feat. Charli XCX) - feat. Charli XCX
New Young Pony Club,The Bomb - Original Version
Rudimental;Alex Clare;John Newman,Not Giving In - feat. John Newman & Alex Clare
POP ETC,Keep It for Your Own
Buchanan,Run Faster
Diamond Rings,All The Time
The Sounds,Hurt You
The Sounds,Ego
The Sounds,Queen Of Apology
Peter Bjorn and John,Young Folks
The Sounds,Tony The Beat
Caesars,Jerk It Out
Caesars,It's Not the Fall That Hurts - US Mix
We Are Scientists,Rules Don't Stop
Anna Kendrick,"Cups (Pitch Perfect's ""When I'm Gone"")"
Wild Belle,Keep You
Wild Belle,I'm In Love
Eisley,Golly Sandra
Kings of Convenience,I'd Rather Dance With You
Daft Punk;Pharrell Williams;Nile Rodgers,Get Lucky - Radio Edit
Miike Snow,Song for No One
Evermore,Follow the Sun
Mae,Just Let Go
Bastille,Pompeii - Kat Krazy Remix
Javelin,Airfield
Cause & Effect,Happy? (Dirty 8va Mix)
Neuropa,Standing Still in Time
Those Darlins,Pet You And Hold You
Santigold,Lights Out
The Asteroids Galaxy Tour,Around The Bend
YesYou,Frivolous Life (feat. Marcus Azon)
Colour Coding,Had It All
Made In Japan,Pairs
Penguin Prison,Don't Fuck With My Money
The Doves,Everything's Got to Be Alright
Heavenly Beat,Faithless
The Chevin,Champion
The Constellations,We're Here To Save The Day - feat. Asher Roth
The Heavy,How You Like Me Now
Discovery,Swing Tree
Suede,Beautiful Ones
The Wannadies,Little By Little
Cornershop,Brimful Of Asha - Norman Cook Remix
The Jungle Giants,Mr Polite
San Cisco,Golden Revolver
The Milk,Hometown
M.I.A.,XXXO
Shout Out Louds,The Comeback - Big Slippa Mix By Ratatat
Hot Hot Heat,You Owe Me An IOU
Mumm-ra,She's Got You High
Kasabian,Reason Is Treason
Phoenix,Oblique City
Crystal Fighters,You & I
Meiko,I'm In Love
Hooray For Earth,No Love
Sacred Caves,On the Outside
ivy,Get out of the City
Tanlines,All Of Me
IS TROPICAL,The Greeks
Generationals,"When They Fight, They Fight"
Generationals,Put a Light On
Penguin Prison,The Worse It Gets
Crystal Fighters,At Home
Metronomy,The Look
Fischerspooner,Never Win
Paolo Nutini,New Shoes
Toploader,Dancing in the Moonlight - 2001 Remix
Foals,My Number
Capital Cities,Safe and Sound
STRFKR,While I'm Alive
CSS,"Music Is My Hot, Hot Sex"
POP ETC,YOYO
Kimbra;A-Trak;Mark Foster,Warrior
Daily Bread,Allure
Pien Feith,The Highway
Cayucas,Cayucos
Cub Scouts,Do You Hear
Deep Sea Arcade,Steam
Solid Gold,Get Over It
Noah And The Whale,5 Years Time
Hands,The Game is Changing Us
Metric,Dead Disco
The Jungle Giants,I Am What You Want Me to Be
Pacific Air,Float
Brad Sucks,Making Me Nervous
Kyle Andrews,You Always Make Me Smile
The Format,The First Single (You Know Me)
Grimes,Genesis
Ghostland Observatory,Sad Sad City
Blood Orange,Dinner
Capital Cities,Love Away
Gorillaz,Dirty Harry
Youngblood Hawke,We Come Running
Dan Black;Kid Cudi,Symphonies
The Last Royals,Friday Night
Young Galaxy,What We Want
Camera Obscura,Do It Again
Au Revoir Simone,Another Likely Story (Aeroplane Remix)
Fitz and The Tantrums,Spark
Daft Punk;Pharrell Williams,Lose Yourself to Dance
Darwin Deez,Up in the Clouds - Mr Flash Mix
HAIM,Falling
The Knocks;St. Lucia,Modern Hearts
Parachute,Under Control
Fitz and The Tantrums,The Walker
Lana Del Rey,Video Games - Club Clique For The Bad Girls Remix
Dragonette,Let it Go
Bombay Bicycle Club,Shuffle
Wolf Gang,The King And All Of His Men
Walter Meego,Forever
Florrie,Summer Nights
Neon Indian,Polish Girl
Chad Valley,Now That I'm Real (How Does It Feel?)
Animal Kingdom,Strange Attractor
Guster,Amsterdam
Julian Casablancas,11th Dimension
Wolf Gang,Lions In Cages
Capital Cities,Patience Gets Us Nowhere Fast
YACHT,Le Goudron (Edit)
Jenny Wilson,Let My Shoes Lead Me Forward
Death Cab for Cutie,Long Division
Kakkmaddafakka,Someone New
Faded Paper Figures,Small Talk
Dia Frampton;Kid Cudi,Don't Kick The Chair
DWNTWN,See My Eyes
Feist,Inside And Out
Atlas Genius,Trojans
Jhameel,White Lie
STRFKR,Girls Just Want to Have Fun
St. Lucia,Before The Dive
Yeasayer,Henrietta
Andy Grammer,Keep Your Head Up
Poindexter,Light Years
Voxtrot,Kid Gloves
Charli XCX,Take My Hand
Graffiti6,Stare Into The Sun
Modest Mouse,Float On
Hungry Kids of Hungary,Let You Down
Dan Croll,From Nowhere
Fitz and The Tantrums,6am
Edward Sharpe & The Magnetic Zeros,Home
Lykke Li,I Follow Rivers - The Magician Remix
Kennedy,Karate
The Vaccines,Melody Calling
We Are The In Crowd;Alex Gaskarth,Kiss Me Again - feat. Alex Gaskarth
Au Revoir Simone,Somebody Who
Freelance Whales,Hannah
Arcade Fire,Reflektor
American Authors,Believer
CHVRCHES,Recover
White Lies,First Time Caller
Terraplane Sun,Get Me Golden - Radio Edit
Empire of the Sun,Alive
Favored Nations,The Set Up
New Politics,Harlem
Royal Teeth,Wild
Death Cab for Cutie,Doors Unlocked And Open - Cut Copy Remix
HAIM,If I Could Change Your Mind
Family of the Year,St. Croix
The 1975,Chocolate
Gorillaz,On Melancholy Hill
Leagues,Spotlight
The Sound of Arrows,Wonders
Keane,Spiralling
The Limousines,Internet Killed The Video Star
The Limousines,Bedbugs
The Mynabirds,Body of Work
POLIÇA,Chain My Name
Thumpers,Unkinder (A Tougher Love)
The Royal Concept,On Our Way
Pharrell Williams,Happy
Yeasayer,O.N.E.
Grouplove,Colours - Captain Cuts Remix
The Kickdrums,Had Too Much To Dream Last Night (feat. The Kid Daytona)
The Whip,Secret Weapon - Radio Edit
The Whip,Movement
The Mowgli's,San Francisco
Electric Guest,This Head I Hold
CHVRCHES,The Mother We Share
Kate Boy,The Way We Are
Panama;Classixx,Always - Classixx Remix
The Neighbourhood,Sweater Weather
Flight Facilities,With You
Breakbot Feat. Irfane;Breakbot;Irfane,Baby I'm Yours
C2C;Olivier Day Soul,Who Are You
Vampire Weekend,Diane Young
NONONO,Pumpin Blood
BOY,Little Numbers
Sleep Thieves,City Lights
The Limousines,Stranger
Lucius,Turn It Around
Gossip,Move in the Right Direction
GIVERS,Up Up Up
Said The Whale,Mother
Miami Horror;Alan Palomo,Holidays
Panama Wedding,All of the People
Van She,Idea of Happiness
The Presets,This Boys In Love
The Colourist,Little Games
Echosmith,Cool Kids
Twin Shadow,Old Love / New Love
Work Drugs,West Coast Slide
Hey Champ,Shake
St. Lucia,Elevate
Architecture In Helsinki,Contact High
Savoir Adore,Dreamers
The C90s,Shine A Light
Vampire Weekend,Unbelievers
The Postelles,123 Stop
Phoenix,Fences (The Soft Pack RMX) - REMIX VERSION
Wild Cub,Thunder Clatter
Midi Matilda,Day Dreams
Pacific Air,Lose My Mind - Magic Man Remix
MIKA;Pharrell Williams,Celebrate
Dom,Living In America
American Authors,Best Day Of My Life
Tennis,Origins
Darren Hayes,Out Of Talk - Hall & Oates Mix
Stepdad,"My Leather, My Fur, My Nails"
Cut Copy,We Are Explorers
Ghost Beach,Miracle
Catcall,Satellites
Phoenix,Long distance call - Remix by 25 hours a day
Dinosaur Feathers,Young Bucks
Ralph Myerz And The Jack Herren Band,Think Twice (Radio Edit Mix) - Radio Edit
Katchafire,Sweet As
Blondfire,Dear In Your Headlights
Empire of the Sun,Concert Pitch
Alison Valentine,Circles and Triangles
PAPA,Put Me To Work
Jonquil,It's My Part
Strange Talk,Young Hearts
Willy Moon,Yeah Yeah
Flight of the Conchords,Too Many Dicks (On The Dance Floor)
Stepdad,Got the Bite
Vinnie Who,What You Got Is Mine
Like Swimming,Go Buffalo
Stepdad,Pick & Choose
Anna Lunoe;Flume,I Met You
The Knocks;Sneaky Sound System,The One (feat. Sneaky Sound System)
Plushgun,I Like It
Tesla Boy,Spirit of the Night
Friends,Friend Crush
Capital Cities,One Minute More
Neon Trees,1983
JJAMZ,Heartbeat
The Polyphonic Spree,Hold Yourself Up
The Royal Concept,D-D-Dance
The 1975,Girls
Fou De Toi,Dreams
DWNTWN,Til Tomorrow
Gentlemen Hall,Sail Into The Sun
Lily Allen,Hard Out Here
Foster The People,Best Friend
Oliver Koletzki;Fran,Up in the Air (feat. Fran)
Bronze Radio Return,"Mister, Mister"
New Navy,Tapioca
Air Traffic Controller,You Know Me
Cherub,XOXO
Reptar,Stuck In My Id
Blondfire,Where the Kids Are
The Colourist,We Won't Go Home
Belle & Sebastian,Your Cover's Blown (Miaoux Miaoux Remix)
RAC;Kele;MNDR,Let Go
Jessica Hernandez and the Deltas,Tired Oak
The Tontons,Golden
RAC;Tegan and Sara,Hard To Hold
TeamMate,Don't Count Me Out
Man Man,Head On [Hold On To Your Heart]
Chronixx,Here Comes Trouble
Paramore,Ain't It Fun
Clinton Sparks;T.I.,UV Love
TeamMate,Goldmine
Rebecca & Fiona,Holler
Oliver Koletzki;Leslie Clio,No Man No Cry (feat. Leslie Clio)
Panama Wedding,Feels Like Summer
Shout Out Louds,Sugar
La Roux,Sexotheque
Dillon Francis;Sultan + Shepard;The Chain Gang Of 1974,When We Were Young
Snakehips;Sinead Harnett,Days With You
MNDR;RAC,Feed Me Diamonds - RAC Mix
Viceroy;Penguin Prison,The Life
Urban Cone,Urban Photograph
Sheppard,Geronimo
Wankelmut;Emma Louise,My Head is a Jungle - Gui Boratto Remix - Short Edit
STRFKR,Bury Us Alive
The Griswolds,Beware the Dog
Magic Man,Paris
Smallpools,Killer Whales
Miniature Tigers,Swimming Pool Blues
Catey Shaw,Human Contact
TV On The Radio,Happy Idiot
The Kooks,Forgive & Forget
Milky Chance,Flashed Junk Mind
Bombay Bicycle Club,Luna
Kaiser Chiefs,Coming Home
Neon Trees,Sleeping With A Friend
Feed Me;Crystal Fighters,Love Is All I Got
CRUISR,All Over
WALK THE MOON,Shut Up and Dance
Ingrid Michaelson,Girls Chase Boys
Penguin Prison,Calling Out
Milky Chance,Stolen Dance
José González,Step Out
We Are Magnetic,Never Easy
Stars,This Is The Last Time
The Little Ones,Argonauts
Young Rising Sons,High
Portugal. The Man,Modern Jesus
The Decemberists,Don't Carry It All
Portugal. The Man;Passion Pit,Purple Yellow Red and Blue - Passion Pit Remix
Belle & Sebastian,The Party Line
STRFKR,Malmo
Belle & Sebastian,I Didn't See It Coming (Richard X Mix)
La Roux,Uptight Downtown
Phoenix,Lisztomania - 25hrs A Day Remix
Stars,No One Is Lost
Miniature Tigers,Oblivious
Marina and the Diamonds,Froot
Music Go Music,Inferno
Chromeo,Jealous (I Ain't With It)
Here We Go Magic,How Do I Know
Pr0files,Forgive
Fear of Men,Tephra
Feist,Mushaboom - Postal Service Remix
Music Go Music,People All Over the World
Young Empires,Rain Of Gold
California Wives,Blood Red Youth
B?RNS,Electric Love
Urban Cone,Sadness Disease
Lovisa Negga,Kärlek Eller Inbillning
The Avener & Phoebe Killdeer,Fade Out Lines - Radio Edit
Tez Cadey,Seve - Radio Edit
HOLYCHILD,Happy With Me
Vinyl Pinups,Gold Rays
Cherub,Sucker for Love
Tove Styrke,Borderline
Ingrid Michaelson,Afterlife
For The Foxes,We're Coming Up
Laura Doggett;Prins Thomas,Phoenix - Prins Thomas Diskomiks Remix
Parade of Lights,Golden
Magic Man,Out of Mind
Magic Man,Waves
Betty Who,High Society
ASTR,R U With Me
MS MR,Painted
Carousel,My New Friend
The Pass,Halo
Black Taxi,Electroshock Death Grip
Strange Names,Ricochet
Strange Names,Return
DRGN KING,Wild Night
The Bright Light Social Hour,Infinite Cities
Beach Baby,No Mind No Money
Wolf Alice,Bros
The Charlatans,Let The Good Times Be Never Ending
Strange Names,Neighborhood
Body Parts,Desperation
Ace Reporter,Untouched and Arrived
Florence + The Machine,Ship To Wreck
Sidney York,Dick & Jane
Acres Of Lions,Reaction
Dirty Projectors,Stillness Is The Move
PHASES,I'm In Love With My Life
Death Cab for Cutie,Good Help (Is So Hard To Find)
Kyla La Grange;Kygo,Cut Your Teeth - Kygo Remix
Sky Ferreira,Everything Is Embarrassing
Kid Wave,Wonderlust
Penguin Prison,Try to Lose
Bastille,Pompeii
Atlas Genius,Molecules - Single Version
COIN,Run
PHASES,Cooler
Cheat Codes;Evan Gartner,Adventure
We Are Magnetic,There's No Love
Van She,Coconuts
Youngblood Hawke,Dannyboy
The Postelles,Caught by Surprise
Bad Veins,Don't Run
Betty Who,All of You
Bad Suns,Salt
Tennis,Never Work For Free
Young Rising Sons,King Of The World
Mat Kearney,Heartbeat
Portland,Deezy Daisy
HOLYCHILD,Running Behind
Speak,Gates
Great Good Fine Ok,Not Going Home
Madeon;Mark Foster,Nonsense
"Oh, Be Clever",Next 2 U
Grum,Turn It Up
Donkeyboy,Sometimes
Florrie,I Took a Little Something
Vinyl Pinups,Hey Hey You
Neon Indian,Annie
Matt Pond PA,Love to Get Used
Mumford & Sons,The Wolf
Elle King,Ex's & Oh's
Ex Cops,Teenagers
Moon Taxi,Morocco
Natalia Kills,Saturday Night - Samantha Ronson vs DK Remix
The Griswolds,If You Wanna Stay
Halsey;Lost Kings,Ghost - Lost Kings Remix
Datarock,Fa-Fa-Fa
Heartsrevolution,Kishi Kaisei
CRUISR,Kidnap Me
Porter Robinson;Urban Cone,Lionhearted
Lemaitre;LOLO,Wait
Sleeper Agent,Waves
Mating Ritual,Toxins
Saint Motel,Cold Cold Man
Dresses,Sun Shy
The Royal Concept,World On Fire
The Vamps,Wild Heart
Mike Posner,I Took A Pill In Ibiza - Seeb Remix
Olympic Ayres,Lose You
Bear Lake,Crawl
The New Electric Sound,Suitcase
Max and the Moon,Harps
Step Rockets,Kisser (Rii Remix)
"Does It Offend You, Yeah?",Dawn of the Dead
Kool Head,Leon
Breathe Carolina,Blackout
Beat Club,Something Better
Generationals,Black Lemon
Chela;Keljet,Zero - Keljet Remix
WALLA,101
Miami Horror,Wild Motion (Set It Free)
Intergalactix,Tuesday
Golden Coast,Break My Fall
Hey Ocean!,Make a New Dance Up
Natalie Walker,Cool Kids - RAC Remix
Fitz and The Tantrums,HandClap
Sir Sly,Gold - Betablock3r Remix
Brandon Flowers,Lonely Town
Rose Quartz,Scarves
Betablock3r;Vic and Gab,Don't Take Me Home (feat. Vic & Gab)
Sun City,High
Swiss Lips,In the Water
Zak Waters,Skinny Dippin in the Deep End
Operator Please,Back And Forth
The 1975,The Sound
Lovelife,Dying to Start Again
Trails and Ways,Mtn Tune
Wild Belle,Shine
In The Valley Below,Peaches - Passion Pit Remix
Tegan and Sara,Boyfriend
Classixx,All You're Waiting For - feat. Nancy Whang
ADHDS,City
Betablock3r,In My Head
Cheerleader,Perfect Vision
WATERS,What's Real
Diamond Rings,Runaway Love
Avid Dancer,I Feel It
St. Lucia,Dancing On Glass
Cardiknox,Wild Child
French Horn Rebellion;Spencer Ludwig,Play Your Part (feat. Spencer Ludwig)
BANGLADE$H,Lean
POP ETC,What Am I Becoming?
Penguin Prison,Show Me The Way
Peter Bjorn and John;RAC,What You Talking About? (RAC Mix)
Young Empires,Sunshine
Oliver Nelson;Heir,Found Your Love
VHS Collection,Waiting on the Summer
Brett,Golden
Youth Warrant,Shake
Vacationer,In The Grass
Hunter Hunted,Ready For You
Priory,Weekend
Bad Wave,Look Out
Krisp,167
Patternist,Get You Out
Party Nails,Break
Secret Weapons,Something New
Phoenix,Ti Amo
Grace Mitchell,NoLo
Portugal. The Man,Feel It Still
Moon Taxi,Make Your Mind Up
Sun City,In My Skin Again
Colony House,Silhouettes (Casio Version)
COIN,Talk Too Much
CRUISR;Shallou,Go for It - Shallou Remix
Digitalism;Youngblood Hawke,Wolves
