,Artist,Song,lyrics
11,Of Monsters and Men,King And Lionheart,"Takin' over this town, they should worry
But these problems aside I think I taught you well
That we won't run, and we won't run, and we won't run
That we won't run, and we won't run, and we won't run

And in the winter night sky, ships are sailin'
Looking down on these bright blue city lights
And they won't wait, and they won't wait, and they won't wait
We're here to stay, we're here to stay, we're here to stay

Howling ghosts, they reappear
In mountains that are stacked with fear
But you're a king and I'm a lionheart

A lionheart

His crown lit up the way as we moved slowly
Past the wonderin' eyes of the ones that were left behind
Though far away, though far away, though far away
We're still the same, we're still the same, we're still the same

Howling ghosts, they reappear
In mountains that are stacked with fear
But you're a king and I'm a lionheart
And in the sea that's painted black
Creatures lurk below the deck
But you're a king and I'm a lionheart
And as the world comes to an end
I'll be here to hold your hand
'Cause you're my king and I'm your lionheart

A lionheart, a lionheart, a lionheart, a lionheart
A lionheart, a lionheart, a lionheart, a lionheart

Howling ghosts, they reappear
In mountains that are stacked with fear
But you're a king and I'm a lionheart
And in the sea that's painted black
Creatures lurk below the deck
But you're a king and I'm a lionheart

A lionheart, a lionheart, a lionheart, a lionheart
A lionheart, a lionheart, a lionheart, a lionheart"
12,Hozier,Someone New,"Don't take this the wrong way
You knew who I was every step that I ran to you
Only blue or black days
Electing strange perfections in any stranger I choose

Would things be easier if there was a right way
Honey there is no right way

And so I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new

There's an art to life's distractions
Somehow escapes the burning weight the art of scraping through
Some like to imagine
The dark caress of someone else I guess any thrill will do

Would things be easier if there was a right way
Honey there is no right way

And so I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new

I wake at the first cringe of morning
And my heart's already sent
How pure, how sweet a love, Aretha
That you would pray for him

'Cause God knows I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day

Love with every stranger, the stranger the better
Love with every stranger, the stranger the better
Love with every stranger, the stranger the better
Love with every stranger, the stranger the better

I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new
I fall in love just a little, oh little bit
Every day with someone new"
13,The Revivalists,Wish I Knew You,"You shine like a star
You know who you are
You're everything beautiful

She's hot, hot like the sun
The loneliest one
Still everything beautiful

Well, I'll be goddamned
You're standing at my door
We stayed up in the city
Till the stars lost the war

So Friday night, holy ghost
Take me to your level
Show me the one I need the most
I need the most

I wish I knew you when I was young
We could've got so high
Now we're here, it's been so long
Two strangers in the bright lights

Oh, I hope you don't mind
We can share my mood
Two strangers in the bright light
I wish I knew you
I wish I knew you
Oh, I wish I knew you when I was young

Truth, it's all that you need
You bury that seed
It's everything beautiful

And that sound comes from the underground
It's all inside you now
It's everything beautiful

But what'chu, what'chu, what'chu running from?
They got you, got you, got you on the run?

So Friday night, holy ghost
Take me to your level
Show me the one I need the most
I need the most

I wish I knew you when I was young
We could've got so high
Now we're here it's been so long
Two strangers in the bright lights

Oh, and I hope you don't mind
We can share my mood, yeah
Two strangers in the bright light
I wish I knew you
I wish I knew you
Oh, I wish I knew you when I was young

Maybe we can share my mood
Mmm, mmm, mmm
Maybe we can share my mood
Mmm, mmm, mmm
Maybe we can share my mood
Mmm, mmm, mmm

I wish I knew you when I was young
We could've got so high
Now we're here it's been so long
Two strangers in the bright light

Oh, and I hope you don't mind
We can share my mood, yeah
Two strangers in the bright light
I wish I knew you
I wish I knew you
Oh, I wish I knew you when I was young"
14,First Aid Kit,Wolf,"Wolf mother, where you been?
You look so worn, so thin
You're a taker, devil's maker
Let me hear you sing, hey ya, hey ya

Wolf father at the door
You don't smile anymore
You're a drifter, shape-shifter
Let me see you run, hey ya, hey ya

Holy light, oh, burn the night
Oh, keep the spirits strong
Watch it grow, child of wolf
Keep holding on

When I run through the deep
Dark forest long after this begun
Where the sun would set
Trees were dead and the rivers were none

And I hope for a trace
To lead me back home from this place
But there was no sound
There was only me and my disgrace

Hey, hey-hey, hey, hey
Hey, hey-hey, hey, hey
Hey, hey-hey, hey, hey
Hey, hey-hey, hey, ya

Wolf mother, where you been?
You look so worn, so thin
You're a taker, devil's maker
Let me hear you say, hey ya, hey ya

Wolf father at the door
You don't smile anymore
You're a drifter, shape-shifter
Let me see you run, hey ya, hey ya

Wayward winds
The voice that sings of a forgotten land
See it fall, child of wolf
Lend a mending hand

When I run through the deep dark forest
Long after this begun
Where the sun would set
Trees were dead and the rivers were none

And I hope for a trace
To lead me back home from this place
But there was no sound
There was only me and my disgrace

Hey, hey-hey, hey, hey
Hey, hey-hey, hey, hey
Hey, hey-hey, hey, hey
Hey, hey-hey, hey, ya"
15,Young Pines;Laney Jones,Start Right Now (feat. Laney Jones),-1
16,Ezra Vine,Celeste,-1
17,Beta Radio,Either Way,-1
18,The Head and the Heart,All We Ever Knew - Recorded at Spotify Studios NYC,-1
19,Graham Colton,Life's What You Make It,-1
20,Graeme James,Alive,-1
21,Emil Landman,Our Bodies,"My mama told me I'm on the rise
My mama told me never look down
Go and raise your head up high
My mama told me you're on the rise

Our bodies they will collide
Our bodies they will collide
Our bodies they will collide
Our bodies they will collide

My father told me now go ahead
Be the best man you ever had
I would have raised you if I could
Be the best man I knew you would

Our bodies they will collide
Our bodies they will collide
Our bodies they will collide
Our bodies they will collide

But there are 10 million reasons why I would be around
I'm grateful for the days you had me runnin' wild
Lookin' back I'm sure you would have changed things somehow
And now its up to me to go as far as I can

Oh I will try

Our bodies they will collide
Our bodies they will collide
Our bodies they will collide
Our bodies they will collide

Our bodies they will collide
Our bodies they will collide
Our bodies they will collide
Our bodies they will collide"
22,Morningsiders,Empress,-1
23,Avalanche City,Love Love Love - AU Master,-1
24,Alabama Shakes,Hold On,"Bless my heart
Bless my soul
Didn't think I'd make it
To twenty-two years old

There must be someone up above
Sayin' ""Come on, Brittany
You've gotta come on up
You've gotta hold on
Yeah, you've got to hold on""

So bless my heart
And bless yours too
I don't know where I'm gonna go
Don't know what I'm gonna do

But must be somebody up above
Sayin' ""Come on, Brittany
You got to come on up
You got to hold on
Yeah, you've got to hold on
Yeah, you've got to wait
Yeah, you've got to wait""

But I don't wanna wait
I don't wanna wait

So bless my heart
Bless my mind
I got so much to do
I ain't got much time

So must be someone up above
Sayin' ""Come on, girl
Yeah, you've got to get back up
You've got to hold on
Yeah, you've got to hold on
Yeah, you've got to wait""

I don't want to wait
But I don't wanna wait
No, I don't wanna wait
You've got to hold on
You've got to hold on

You gotta hold on
You gotta hold on"
25,The Tallest Man On Earth,King of Spain,"I never knew I was a lover,
Just 'cause I steal the things you hide,
Just 'cause I focus while we're dancing,
Just 'cause I offered you a ride.

Still I am not from Barcelona,
I am not even from Madrid.
I am a native of the North Pole
And that can mess up any kid.

Well if you could reinvent my name,
Well if you could redirect my day,
I wanna be the King of Spain.

And I will settle in Pamplona
And I'll provoke the bulls with words
And then I'll send a man to meet them all
But he's fake, so I have heard.

And all the senoritas sighing,
Will be the fountain of my lies.
But while we're floating in siestas
You search for bottles and for knives.

Well if you could reinvent my name,
Well if you could redirect my day,
I wanna be the King of Spain.

And I wear my boots of Spanish leather
Oh while I'm tightening my crown.
I'll disappear in some flamenco
Perhaps I'll reach the other side.

Why are you stabbing my illusion?
Just 'cause I stole some eagle's wings
Because you named me as your lover
Well, I thought I could be anything.

Well if you could reinvent my name,
Well if you could redirect my day,
I wanna be the King of Spain."
26,Bibio,lovers’ carvings,-1
27,The Harmaleighs,I Keep Ticking On,-1
28,Dispatch,Only the Wild Ones,-1
29,firekid,Lay By Me,-1
30,Shovels & Rope,O' Be Joyful,"Does she wanna get it all back?

O' be joyful
Is that what you're brewing
Does your daddy know
That's what you're doing
His little girl's got a reputation out for ruin
She was givin' them the country away

Machete in the tree stub, hound dog on the chain
Wooden-legged woman playin' a banjo in the rain.
Can't recall the tune but the song's always the same
""Jesus give me strength""

But babe, it's all right
I'm gonna wrap you up tonight,
Carry you out right on time

Well she got Comanche, she got Iroquois
She got a young man that she plays with like a toy
He don't mind when she call him little boy
That's a thing that he enjoys

She wants to give it all back but it's a little too late
He want to start all over, want a shiny clean slate.
Just skin him like a snake and hang him up over the gate.
Don't believe it? Just you wait

But babe, it's all right
I'm gonna wrap you up tonight,
Carry you out right on time

Hey, all right.

Ain't it good to be alive!

Ain't it nice to be fightin' on the winnin' side?"
31,The Wind and The Wave,Happiness Is Not A Place,"I don't wanna be here no
If you don't wanna be here no
I don't wanna run
But I can't stand still
I dream hard
I beat myself up
I'm trying to trust you
And never give up

Oh I know
You gotta be wrong
Sometimes
If you wanna get along
Don't you know that

And don't you happiness is not a place
It's the road you take
And who you choose to walk it with
And the grass ain't always greener on the other side
It's okay
But I wish it was easy like it sounds
Just believe one day
And your walls start coming down
Trust me things are gonna be alright

You're never gonna be sure no
At some point you jump
And sometimes it works out
And sometimes it don't
'Cause I feel fine
I feel fucked up
One day it's alright it's all good baby
And then it's not

Oh I know
You gotta be wrong
Sometimes
If you wanna get along
Don't you know that

And don't you happiness is not a place
It's the road you take
And who you choose to walk it with
And the grass ain't always greener on the other side
It's okay
But I wish it was easy like it sounds
Just believe one day
And your walls start coming down
Trust me things are gonna be alright"
32,Edward Sharpe & The Magnetic Zeros,Home,"[Jade]
Alabama, Arkansas
I do love my Ma and Pa
But not the way that I do love you

[Alex]
Well, holy moly, me oh my
You're the apple of my eye
Girl, I've never loved one like you

[Jade]
Man, oh man, you're my best friend
I scream it to the nothingness
There ain't nothin' that I need

[Alex]
Well, hot and heavy pumpkin pie
Chocolate candy, Jesus Christ
There ain't nothin' please me more than you

[All]
Oh home, let me come home
Home is wherever I'm with you
Oh home, let me come home
Home is wherever I'm with you

[Jade & Alex]
Lalalala, take me home
Momma, I'm coming home

[Alex]
I'll follow you into the park
Through the jungle, through the dark
Girl, I've never loved one like you

[Jade (Alex)]
Moats and boats, and waterfalls
Alleyways and payphone calls
I've been everywhere with you (hey!)
(That's true)

[Alex (Jade)]
Laugh until we think we'll die (we'll die!)
Barefoot on a summer night (summer night!)
Never could be sweeter than with you

[Jade]
And in the streets we're running free
Like it's only you and me

[Jade & Alex]
Geez, you're somethin' to see

[All]
Oh home, let me come home
Home is wherever I'm with you
Oh home, let me come home
Home is wherever I'm with you

[Jade & Alex]
Lalalala, take me home
Daddy, I'm coming home

[Jade & Alex]
""Jade...""
""Alexander...""
""Do you remember that day you fell out of my window?""
""I sure do, you came jumping out after me.""
""Well, you fell out in the concrete and nearly broke your ass.
And you were bleeding all over the place and I rushed you off to the hospital.
Do you remember that?""
""Yes, I do.""
""Well, there's something I never told you about that night.""
""What didn't you tell me?""
""While you were sitting in the backseat, smoking a cigarette you thought was gonna be your last,
I was falling deep, deeply in love with you, and I never told you till just now!""
""Aw...""

[All]
Home, let me come home
Home is wherever I'm with you
Oh home, let me come home
Home is when I'm alone with you!

[Alex]
Home, let me come home
Home is wherever I'm with you

[Jade]
Home, yes I am home
Home is when I'm alone with you

[Jade]
Alabama, Arkansas
I do love my Ma and Pa.
Moats and boats and waterfalls
Alleyways and payphone calls

Home is wherever I'm with you
Home is when I'm alone with you"
33,Chef'Special,In Your Arms,"Know you're gone, I know you're gone
But I don't feel what I know
I know you're gone, I know you're gone
But my mind ain't in control
'Cause it's my heart that's been missing you
And it's the heart I need to listen to
And it's been singing songs for tender dreams
But when you sang to help us sleep
And one day I will sing those songs
Sing them till they sleep
Just like you sang to me
Just like you sang, sang to me

From the day that I met you I stopped feeling afraid
In your arms I feel safe
In your arms I feel safe
From the day that I met you I stopped feeling afraid
In your arms I feel safe
In your arms

I miss you so, I miss you so
And I'll miss you till I'm old
I miss you so, I miss you so
But my fears will fade, I know
'Cause it's my heart that you helped to build
And love is my compass still yeah
Love will fill the holes I've got
'Cause you will never hold me
But I know that you are with me, I know that you have peace
Cause you let us sing to sleep
You let us sing your heart to sleep

And I know that you are with me
And I know that you have peace
Cause you let us sing your soul, your mind and heart to sleep

I miss you so, I miss you so
And I'll miss you till I'm old"
34,Iron & Wine,Call It Dreaming,"Say it's here where our pieces fall in place
Any rain softly kisses us on the face
Anywhere means we're running
We can sleep and see 'em coming
Where we drift and call it dreaming
We can weep and call it singing

Where we pray when our hearts are strong enough
We can bow 'cause our music's warmer than blood
Where we see enough to follow
We can hear when we are hollow
Where we keep the light we're given
We can lose and call it living

Where the sun isn't only sinking fast
Every night knows how long it's supposed to last
Where the time of our lives is all we have
And we get a chance to say
Before we ease away
For all the love you've left behind
You can have mine

Say it's here where our pieces fall in place
We can fear 'cause the feeling's fine to betray
Where our water isn't hidden
We can burn and be forgiven
Where our hands hurt from healing
We can laugh without a reason

'Cause the sun isn't only sinking fast
Every moon in our bodies make shining glass
Where the time of our lives is all we have
And we get a chance to say
Before we ease away
For all the love you've left behind
You can have mine"
35,Foy Vance,Upbeat Feelgood,"I'm upbeat, I feel good
I'm upbeat, I feel good
I'm upbeat, I feel good
I'm upbeat, I feel good

Get out your bare feet tonight
We'll dance by fire 'til morning light
I cast all my woes aside
Out of sight, out of mind

I'm upbeat, I feel good
I'm upbeat, I feel good
I'm upbeat, I feel good
I'm upbeat, I feel good

Come and sit down by my side
Darling look me in the eye
Well if you wanna ask me, now's the time
My hair's not heavy and my heart is right

I'm upbeat, I feel good
I'm upbeat, I feel good
I'm upbeat, I feel good
I'm upbeat, I feel good

And I don't care about the time
Light that fire, gonna heat that wine
I've got one thing on my mind
So pop that cork from the bottle babe
We're gonna drink it down fast and make love slowly

I'm upbeat, I feel good
I'm upbeat, I feel good
I'm upbeat, I feel good
I'm upbeat, I feel good

I'm upbeat, I feel good
I'm upbeat, I feel good
I'm upbeat, I feel good
I'm upbeat, I feel good"
36,Of Monsters and Men,Dirty Paws,"Jumpin' up and down the floor
My head is an animal
And once there was an animal
It had a son that mowed the lawn
The son was an okay guy
They had a pet dragonfly
The dragonfly, it ran away
But it came back with a story to say

Her dirty paws and furry coat
She ran down the forest slopes
The forest of talkin' trees
They used to sing about the birds and the bees
The bees had declared a war
The sky wasn't big enough for them all
The birds, they got help from below
From dirty paws and the creatures of snow

So, for a while things were cold
They were scared down in their holes
The forest that once was green
Was colored black by those killing machines
But she and her furry friends
Took down the queen bee and her men
And that's how the story goes
The story of the beast with those four dirty paws"
37,Fruit Bats,Humbug Mountain Song,-1
38,MAGIC GIANT,Hideaway,-1
39,Shakey Graves,Dearly Departed (feat. Esmé Patterson),"Ooh

Ooh

Ooh

Ooh

Well
You and I both know that the house is haunted
And you and I both know that the ghost is me
You used to catch me in your bed-sheets and a-rattling your chains
Well back then baby, it didn't seem so strange

You used to bite, I used to moan
But now I'm mumbling and you choke
Well I ain't so scary on my own
Tell me honey, what's a dagger without a cloak?

'Cause
You and I both know that the house is haunted
And you and I both know that the ghost is me
You used to catch me in your bed-sheets and a-rattling your chains
Well back then baby, it didn't seem so strange

In the midnight hours, you came alive
I had to go get my crystal ball
Gotta find that snake
When the sun came up we got no place to hide
And you had to tell your friends that my fangs where fake
I just had to.

You and I both know that the house is haunted
And you and I both know that the ghost is me
You used to catch me in your bed-sheets there's a-rattling in your chains
Well back then baby, it didn't seem so strange

But even when one is
Dead and gone
It still take two to make a house home
I'm as lonesome as the catacombs
I hear you call me name but no one's there
Except a feelin' in the air
(Ooh)

You and I both know that the house is haunted
Yeah you and I both know that the ghost is you
You used to walk around screaming, all slamming all 'dem doors.
Well I'm all grown up now and I don't scare easy no more

Yeah, You and I both know
Ooh
You and I both know
Ooh
Yeah you and I both know
Ooh
Ooh"
40,The Lumineers,Ophelia,"Ah ah, when I was young
I, I should've known better
And I can't feel no remorse
And you don't feel nothing back

Ah, ah, got a new girlfriend here
He feels like he's on top
And I don't feel no remorse
And you can't see past my blindness

Oh, Ophelia
You've been on my mind, girl, since the flood
Oh, Ophelia
Heaven help the fool who falls in love

I, I got a little paycheck
You got big plans and you gotta move (whoo)
And I don't feel nothing at all
And you can't feel nothing small

Honey, I love you
That's all she wrote

Oh, Ophelia
You've been on my mind, girl, like a drug
Oh, Ophelia
Heaven help the fool who falls in love

Oh, Ophelia
You've been on my mind, girl, since the flood
Oh, Ophelia
Heaven help the fool who falls in love

Oh, Ophelia
You've been on my mind, girl, like a drug
Oh, Ophelia
Heaven help the fool who falls in love"
41,Vance Joy,Riptide,"I was scared of dentists and the dark
I was scared of pretty girls and starting conversations
Oh, all my friends are turning green
You're the magician's assistant in their dream

Ah ooh
Oh, and they come unstuck

Lady, running down to the riptide
Taken away to the dark side
I want to be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

Here's this movie that I think you'll like
This guy decides to quit his job and heads to New York City
This cowboy's running from himself
A-she's been living on the highest shelf

Ah ooh
Oh, and they come unstuck

Lady, running down to the riptide
Taken away to the dark side
I want to be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

I just want to, I just want to know
If you're gonna, if you're gonna stay
I just got to, I just got to know
I can't have it, I can't have it any other way
I swear she's destined for the screen
Closest thing to Michelle Pfeiffer that you've ever seen, oh

Lady, running down to the riptide
Taken away to the dark side
I want to be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

Oh lady, running down to the riptide
Taken away to the dark side
I want to be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

Oh lady, running down to the riptide
Taken away to the dark side
I want to be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong, yeah
I got a lump in my throat 'cause
You're gonna sing the words wrong"
42,Graeme James,One + One,-1
43,Twin Forks,Back To You,"I was young so I forgot
Which was my place and which was not
Thought I had a good shot
I took it right in my eye

Look ahead, look behind
Take another, I don't mind
I, oh, I, oh

Follow the signs right back to you
Back to you, back to you
I know they wind right back to you
Back to you

So, put a posey in your hair
Pretend you couldn't give a care
Whistle past the graveyard
Even the dead deserve a song

Let the moon do what she does
She don't need to make a fuss, ah
She don't know she shines for us, oh
Something tells me that she does

Follow the signs right back to you
Back to you, back to you
I know they wind right back to you
Back to you, back to you

Time after time, I follow signs
(I know they wind)
I know they wind right back to you
Back to you, back to you

Love, lower your eyes
Leave me a sign

Follow the signs right back to you
Back to you, back to you
I know they wind right back to you
Back to you, back to you

I trust the signs so I may find my way to you
Back to you, back to you
Follow the signs right back to you
Back to you, back to you"
44,The Lumineers,Where The Skies Are Blue,"You're gonna leave, it ain't gonna break my heart, mama
I've never seen nobody quite like you

And if you ever change your tune
Oh, the world's got the best of you
You can always find me where the skies are blue

Wanted to change, turn into what you love, mama
And I woulda gave all of my best to you

So, if you ever need a fool
Who will give you a love so true
You can always find me where the skies are blue

Lay your dreams, little darlin', in a flower bed
Let that sunshine in your hair, in your hair

You're gonna bleed somebody's brand new love, mama
Who's gonna feel you like it always do

And when your fairytale is through
And you're looking for someone new
You can always find me where the skies are blue
You can always find me where the skies are blue"
45,The Avett Brothers,Ain't No Man,"Ain't no man that can save me
There ain't no man that can enslave me
Ain't no man or men that can change the shape my soul is in
There ain't nobody here
Who can cause me pain or raise my fear 'cause I got only love to share
If you're looking for truth I'm proof you'll find it there

You got to serve something, ain't that right
I know it gets dark but there's always a light
You're gonna have to buy in to get into the club
Trade your worries
You gotta show up if you wanna be seen
If you matters to you, ma, it matters to me
I'm gonna fall hard, yeah I know I am
When the clowns crack up I laugh with them

Ain't no man that can save me
There ain't no man that can enslave me
Ain't no man or men that can change the shape my soul is in
There ain't nobody here
Who can cause me pain or raise my fear 'cause I got only love to share
If you're looking for truth I'm proof you'll find it there

You say you look funny, I say you're a star
I say you're whatever you think you are
Watch your naysayers fall right in line
If we believe it they'll say ""She is so pretty
He is so fine""
Ain't no man that can save me
There ain't no man that can enslave me
Ain't no man or men that can change the shape my soul is in
There ain't nobody here
Who can cause me pain or raise my fear 'cause I got only love to share
If you're looking for truth I'm proof you'll find it there

You got to go somewhere, ain't that true
Not a whole lot of time for me or you
Got a whole lot of reasons to be mad, let's not pick one
I live in a room at the top of the stairs
Got my windows wide open and nobody cares
And I got no choice but to get right up when the sun comes through

Ain't no man that can save me
There ain't no man that can enslave me
Ain't no man or men that can change the shape my soul is in
There ain't nobody here
Who can cause me pain or raise my fear 'cause I got only love to share
If you're looking for truth I'm proof you'll find it there
If you're looking for truth I'm proof you'll find it there
If you're looking for truth I'm proof you'll find it"
46,Valerie June,Shakedown,"Somebody
Somebody
Not any ol' body
Not any ol' body

Need you to need me
Need you to want me
Somebody
Somebody

Get me on the shakedown, breakdown, showdown
That move it, make it go 'round
That brought it, broke it, bring it
Feel it when you sing it

Everybody
Everybody
Just any ol' body
Just any ol' body

You’re the one, yeah yeah
You’re the one, yeah yeah
Everybody
Everybody

Get me on the shakedown, breakdown, showdown
That move it, make it go 'round
That brought it, broke it, bring it
Feel it when you sing it

Get me on the shakedown, breakdown, showdown
That move it, make it go 'round
That brought it, broke it, bring it
Feel it when you sing it

Shakedown, breakdown, showdown
That move it, make it go 'round
That brought it, broke it, bring it
Feel it when you sing it

Shakedown, breakdown, showdown
That move it, make it go 'round
That brought it, broke it, bring it
Feel it, feel it, feel it when you sing it"
47,MAGIC GIANT,Set On Fire,-1
48,Langhorne Slim;The Law,Put It Together,-1
49,Cereus Bright,American Dream,-1
50,Dead Man Winter,Destroyer,-1
51,Hein Cooper,Rusty,-1
