,Artist,Song,lyrics
18,Sabrina Claudio,Stand Still,"Time stands still
While we stand here
Don't wanna fight you
I need the same as you

I want trust to
I want us too
I want lust too
I want lust too
I want love too
I want this too
I want in you

Time is being wasted screaming
Not listen I promise you'll heal me better
You're so unaware about the feeling
The same thing, the same damn thing

Time is standing still
And why are we still here
I don't wanna fight you
I'm needing the same as you

I want trust too
I want us too
I want lust too
I want lust too
I want love too
I want this too
I want in you"
19,Xavier Omär,Runnin' Round,-1
20,Eli Sostre,Let You Go,"You're just tryna figure where I'm at
I'ma always tell you what I lack love
Fuck with me, I'm only talkin' facts
I've been drinkin' lately, I might act up
Jewelry on, I used to rock my brother chains
I was broke, they wanted me to stay the same
Fuck it bet, she bust it open for some change
Brought the family with me, feelin' like the Waynes
Get the fuck up out my face with all these questions
Did it on my own so I don't need suggestions
Hit the road, it'd been a minute since I checked in
Now you miss me, I just hope you're out there reppin'
Pretty bitch, she keep my picture on the wall, yeah
If you love me, hope you love me and my flaws, yeah
I wouldn't trade this feelin' for the world
Only right, I throwed some diamonds on my girl
Yeah, yeah
 
You're always on my mind
I still try to find some time
But you make it so hard to let you go, oh oh oh
You're always on my mind
I still try to find some time
But you make it so hard to let you go, oh oh oh

Tell me what you heard about
Tell me all the stories that you heard about
Say I'm fuckin' around, but that's just word to mouth
Used to want forever, you ain't sure now
Yeah, let's get connected, get connected
Yeah, them niggas talkin' down, yeah, they're talkin' reckless
Homie, I would hate it too lookin' at my neckless
Every time they hit my town, they're gon' need protection
Baby, back to you
Cell phone keep ringin' out the new
I got drugs in my bag, that's for you
If you tell a story on me tell the truth
Oh, yeah
 
You're always on my mind
I still try to find some time
But you make it so hard to let you go, oh oh oh
You're always on my mind
I still try to find some time
But you make it so hard to let you go"
21,Sevdaliza,Hubris,"Oh, my man
I hold your heart
Oh, pretend

You ain't my
And oh, I don't know you
Anymore
And oh, I don't know you
Anymore
You (?)

Oh, my man
I hold your heart
Oh, pretend
You ain't my (?)
And oh, I don't know you
Anymore, anymore
Uh

Oh, my friend
I hope you're here
Oh, pretend
You ain't my (?)
And oh, I don't know you
Anymore
And oh, I don't know you
Anymore

Oh
You and me
We'll fail
To see
(?)
We'll fail
To fly"
22,6LACK,Ex Calling,-1
23,potsu,im closing my eyes (feat. shiloh),-1
24,Fallen Roses;B dom,Lies We Told,-1
25,Dream Koala,We Can't Be Friends,-1
26,Paperboy Fabe;Brent Faiyaz,Language,-1
27,Childish Major,Supply Luh,-1
28,Mahalia,Sober,-1
29,Sango;Xavier Omär,How Do You Love Me,-1
30,Geoffroy,Sleeping on My Own,"You ain't the first one to care for what's hiding inside
Ain't the first to fall
To notice you can't have it all

I ain't a cold hearted man, won't give you false hopes
But I ain't made of stone
Got limits, I'll get weak if you get too close

Somehow this is what I'm used to, easy as it goes
Smoking on my downtime, sleeping on my own

You got me faded, stuck in a daze
Trying to keep up with your pace but I'm growing old
Guess I'm getting tired

And I've been meaning to tell you, what's been on my mind
I'm just scared you'll leave, been left alone too many times

Somehow this is what I'm used to, easy as it goes
Smoking on my downtime, sleeping on my own

Somehow this is what I'm used to, easy as it goes
Smoking on my downtime, sleeping on my own"
31,7AM,Swaying,-1
32,Sonder,Feel,-1
33,simon eng;duendita,another time (world$tar money),-1
34,Kupla,still breathing,-1
35,Gangsigns,All or Nothing,-1
36,Reva DeVito;Birthday Boy,DEEPER - prod. BIRTHDAY BOY,-1
37,Vague003,Why Are You Making This Harder Than It Has to Be,-1
38,Wet,Don't Wanna Be Your Girl,"I don't wanna be your girl no more
No more
I just wanna see your face at home
Home

You can't do me right
So I decide that

I don't wanna be your girl no more
No more
I just wanna see you up and out
Out of the door

I'm not living right
So I decide that

I don't wanna be your girl no more
No more
I won't hide the ways I've tried
It's just not right
It's killing me tonight"
39,vbnd;Sophie Meiers;Tola,Best for You,-1
40,Loyle Carner;Tom Misch,Damselfly,-1
41,Abhi//Dijon,Ignore,-1
42,Billy Davis,No Longer Lovers,-1
43,Xavier Omär,If This Is Love,"Why are we here?
Why are we wasting all of this time now?
Let me be clear baby
You won't be stressing me in my prime now
You need to speak to me better
Talk to me like I'm worth a damn
You could be treating me better
And I could be doing well on my on now, now, now
You say baby

""Hold me tight
Don't let go
Ease my mind
Keep me close
Hold me tight""

You're so subjective
This don't reflect what you give me

(Oh)
You're so subjective

If this is love
I don't want it
I don't need it
I could live without it

Oh I thought that I was okay
(Ain't I) treat you all the best ways?
(Ain't I) there whenever you call?
(Ain't I) check my tone when we don't agree
And I watch my words like a hawk?
(Ain't I) make it right when I'm wrong?
(Ain't I) stay away from whatcha' don't like?
(Ain't I?)
It's super fake that you can't relate

You need to speak to me better
Trying to hide the truth
You've got all these expectations but they don't apply to you
I'm not here for it
I don't wan't that for myself
I could be doing well on my own now, now, now
You say baby

""Hold me tight
Don't let go
Ease my mind
Keep me close
Hold me tight""

You're so subjective
This don't reflect what you give me

If this is love
I don't want it
I don't need it
I could live without it"
44,Many Faces,Stay,-1
45,Kleerup;Lykke Li,Until We Bleed (feat. Lykke Li),-1
46,Bonobo;Rhye,Break Apart,"It's hard to take all of this hate
It's hard to take all of this hate, this hate
First move they think they never saw
Be careful with me, be careful with
Join with me

I should've heard your fear
So, it's on me, so, it's on
I should've heard your needs
So, it's on, so, it's on, so, it's on

We've thrown apart these pieces
We've thrown apart these pieces
So, I don't go home
Tell me love, tell me love

You're my favourite, you're my favourite
But we're phasing, but we're phasing
You're my favourite, you're my favourite
But we're phasing, but we're phasing
You're my favourite, you're my favourite
But we're phasing, but we're phasing
You're my favourite, you're my favourite
You're my

Instead of something to break apart
Instead, it's just broke apart
Stand up and shake this heart
Instead, it's just a break apart from us

I should've heard your fear
Shame on me
I should've heard your needs
Shame on me

Help me out, on me, help me out, on me
Help me out, on me, help me out, on me
Help me out, on me, help me out, on me
Help me out"
47,Bassti;Samnelly,Keep Your Head up,-1
48,Goldwash,Won't Cry,-1
49,BadBadNotGood;Samuel T. Herring,Time Moves Slowly (feat. Samuel T. Herring),-1
50,Silk Rhodes,Pains,"Now that it's over I can finally see
That all things must change and remain
Like I know you do, oh
People come and go
There is something you should know
Please don't explain
It's the same refrain
Yes it might be strange
Love can get changed
You make my thoughts come alive
Now I'm here to stay
Not to play these games
Nothing is for sure
I'd rather let you go
All things must change and remain
Growing Pains"
51,ESTA.;Bria Zhanae,Loner,-1
52,Arbour,,-1
53,Joe Bonamassa,Let The Good Times Roll - Live,-1
54,Gary Clark Jr.,The Healing - Live,-1
55,Sonny Landreth,Soul Salvation - Live,-1
56,Tedeschi Trucks Band,Bird On The Wire - Live,-1
57,Stevie Ray Vaughan;Double Trouble,Texas Flood - Live at Ripley's Music Hall Philadelphia PA Oct. 20 1983,-1
58,Kenny Wayne Shepherd,True Lies,"Where do you go after midnight
When all the doors should be closed
Your alibis just don't sound right
I asked but nobody knows
How can you look in the eyes
And make it sound so very nice
With those True Lies

Someone's been sleepin' in my bed
This room don't smell like you and me
Who's that been sneakin' out the window
Do you think I'm too blind to see
When you look me in the eyes
And, make it sound so very nice
With those True Lies
It was a clever disguise
But, girl, I'm gettin' wise
To your True Lies

You been doin' this so long now
You're thinkin' it's the truth
I guess it don't seem so wrong if it
Ain't bein' done to you
Gotta lot to learn, baby,
You can keep it down
Word gets in the wind
Then it's bound to blow back around

Girl, can you give me a reason
Bet you don't even know why
Can't figure out what you're thinkin'
Or what it is you're tryin' to justify
When you look me in the eyes
And make it sound so very nice
With your True Lies
It was a clever disguise
But, girl, I'm gettin' wise
To your True Lies
You can laugh, you can cry
But, girl, I just can't buy
Those True Lies"
59,The Jeff Healey Band,Stop Breakin' Down - Live,-1
60,Ina Forsman;Layla Zoe;Tasha Taylor,Weatherman,-1
61,Philip Sayce,Steamroller / Powerful Thing - Live,-1
62,Tedeschi Trucks Band,Keep On Growing - Live,-1
63,The Sheepdogs,Feeling Good - Live,-1
64,Dave Fields,Pocket Full of Dust (Live),-1
65,Jessy Martens and Band,Touch My Blues Away - Live,-1
66,King King,Wait On Time - Live,-1
67,Jonny Lang,Red Light - Live,-1
68,Joe Bonamassa,Some Other Day Some Other Time - Live,-1
69,B.B. King,Everyday I Have The Blues - Live (San Quentin),-1
70,Henrik Freischlader,A Better Man,-1
71,Johnny Winter,Roll With Me - Live,-1
72,Eric Clapton,River Of Tears - Live,-1
73,Albert Cummings,Why Me - Live,-1
74,Buddy Guy,Damn Right I've Got The Blues - Live,-1
75,Son Seals,Crying For My Baby,-1
76,Joe Bonamassa,Lonesome Whistle Blues - Live,-1
77,Lonnie Mack,Camp Washington Chile/If You Have To Know,-1
78,John Mayer Trio,Gravity - Live In Concert,-1
79,Gary Clark Jr.,Things Are Changin' - Live,-1
80,John Mayall & The Bluesbreakers;Eric Clapton;Chris Barber,Hideaway,Instrumental
81,Bernard Allison,Chills & Thrills,"I've been traveling this road for way too long
I need my baby in my arms, girl I need to find my way home
Comin' baby, I'm comin' home girl extend my love to you, just you
We've been apart so long baby
I got a vision girl what we're gonna do

Take my hand girl, baby let me lead the way
I'm gonna hug you and kiss you girl until the break of day
Ooie baby - You give me chills and a thrill that I can't explain - can't explain
I've been missing you so bad baby, your tender huggin and your lovins gonna drive me insane

When you touch me you send chills all down my spine
You make a blind man see, girl you make a strong man cry
C'mon baby, don't stop girl, I can't get enough of your love - your love
You make me feel so good baby Your sweet lov'in and your huggin's what I'm thinking of

I can't get enough of your love"
82,Tony Spinner,Freedom,-1
83,Joe Bonamassa,Born Under A Bad Sign - Live,-1
84,The Derek Trucks Band,Key To The Highway - Live,-1
85,Mike Zito,Judgment Day,-1
86,Popa Chubby,Stoop Down Baby - Live,-1
87,Walter Trout and The Free Radicals,Let Me Know,-1
88,Gov't Mule,Soulshine,"Soulshine

When you can't find the light
That guides you through a cloudy day
When the stars ain't shinin' bright
And you feel like you've lost you're way
When the candle lights of home
Burn so very far away
Well you got to let your soul shine
Just like my daddy used to say

He used to say soul shine
It's better than sunshine
It's better than moonshine
Damn sure better than rain
Well now people don't mind
We all get this way sometimes
Got to let your soul shine
Shine till the break of day

I grew up thinkin' that I had it made
Gonna make it on my own
But life can take the strongest man
And make him feel so alone
Now sometimes I feel a cold wind
Blowin' through my achin' bones
I think back to what my daddy said
He said 'Boy, in the darkness before the dawn'

Let your soul shine
It's better than sunshine
It's better than moonshine
Damn sure better than rain
Yeah now people don't mind
We all get this way sometimes
Got to let your soul shine
Shine till the break of day

Sometimes a man can feel this emptiness
Like a woman has robbed him of his very soul
A woman too, God knows, you feel like this (yes you can)
And when your world seems cold
You got to let your spirit take control

Let your soul shine
It's better than sunshine
It's better than moonshine
Damn sure better than rain
Lord now people don't mind
We all get this way sometimes
Got to let your soul shine
Yeah, shine on and on and on

Oh, it's better than sunshine
It's better than moonshine
Damn sure better than rain
Yeah now people don't mind
We all get this way sometimes
Got to let your soul shine
Yeah, shine on and on and on
Shine till the break of day"
89,Joe Bonamassa,Let The Good Times Roll - Live,-1
90,Gary Clark Jr.,The Healing - Live,-1
91,Sonny Landreth,Soul Salvation - Live,-1
92,Tedeschi Trucks Band,Bird On The Wire - Live,-1
93,Stevie Ray Vaughan;Double Trouble,Texas Flood - Live at Ripley's Music Hall Philadelphia PA Oct. 20 1983,-1
94,Kenny Wayne Shepherd,True Lies,"Where do you go after midnight
When all the doors should be closed
Your alibis just don't sound right
I asked but nobody knows
How can you look in the eyes
And make it sound so very nice
With those True Lies

Someone's been sleepin' in my bed
This room don't smell like you and me
Who's that been sneakin' out the window
Do you think I'm too blind to see
When you look me in the eyes
And, make it sound so very nice
With those True Lies
It was a clever disguise
But, girl, I'm gettin' wise
To your True Lies

You been doin' this so long now
You're thinkin' it's the truth
I guess it don't seem so wrong if it
Ain't bein' done to you
Gotta lot to learn, baby,
You can keep it down
Word gets in the wind
Then it's bound to blow back around

Girl, can you give me a reason
Bet you don't even know why
Can't figure out what you're thinkin'
Or what it is you're tryin' to justify
When you look me in the eyes
And make it sound so very nice
With your True Lies
It was a clever disguise
But, girl, I'm gettin' wise
To your True Lies
You can laugh, you can cry
But, girl, I just can't buy
Those True Lies"
95,The Jeff Healey Band,Stop Breakin' Down - Live,-1
96,Ina Forsman;Layla Zoe;Tasha Taylor,Weatherman,-1
97,Philip Sayce,Steamroller / Powerful Thing - Live,-1
98,Tedeschi Trucks Band,Keep On Growing - Live,-1
99,The Sheepdogs,Feeling Good - Live,-1
100,Dave Fields,Pocket Full of Dust (Live),-1
101,Jessy Martens and Band,Touch My Blues Away - Live,-1
102,King King,Wait On Time - Live,-1
103,Jonny Lang,Red Light - Live,-1
104,Joe Bonamassa,Some Other Day Some Other Time - Live,-1
105,B.B. King,Everyday I Have The Blues - Live (San Quentin),-1
106,Henrik Freischlader,A Better Man,-1
107,Johnny Winter,Roll With Me - Live,-1
108,Eric Clapton,River Of Tears - Live,-1
109,Albert Cummings,Why Me - Live,-1
110,Buddy Guy,Damn Right I've Got The Blues - Live,-1
111,Son Seals,Crying For My Baby,-1
112,Joe Bonamassa,Lonesome Whistle Blues - Live,-1
113,Lonnie Mack,Camp Washington Chile/If You Have To Know,-1
114,John Mayer Trio,Gravity - Live In Concert,-1
115,Gary Clark Jr.,Things Are Changin' - Live,-1
116,John Mayall & The Bluesbreakers;Eric Clapton;Chris Barber,Hideaway,Instrumental
117,Bernard Allison,Chills & Thrills,"I've been traveling this road for way too long
I need my baby in my arms, girl I need to find my way home
Comin' baby, I'm comin' home girl extend my love to you, just you
We've been apart so long baby
I got a vision girl what we're gonna do

Take my hand girl, baby let me lead the way
I'm gonna hug you and kiss you girl until the break of day
Ooie baby - You give me chills and a thrill that I can't explain - can't explain
I've been missing you so bad baby, your tender huggin and your lovins gonna drive me insane

When you touch me you send chills all down my spine
You make a blind man see, girl you make a strong man cry
C'mon baby, don't stop girl, I can't get enough of your love - your love
You make me feel so good baby Your sweet lov'in and your huggin's what I'm thinking of

I can't get enough of your love"
118,Tony Spinner,Freedom,-1
119,Joe Bonamassa,Born Under A Bad Sign - Live,-1
120,The Derek Trucks Band,Key To The Highway - Live,-1
121,Mike Zito,Judgment Day,-1
122,Popa Chubby,Stoop Down Baby - Live,-1
123,Walter Trout and The Free Radicals,Let Me Know,-1
124,Gov't Mule,Soulshine,"Soulshine

When you can't find the light
That guides you through a cloudy day
When the stars ain't shinin' bright
And you feel like you've lost you're way
When the candle lights of home
Burn so very far away
Well you got to let your soul shine
Just like my daddy used to say

He used to say soul shine
It's better than sunshine
It's better than moonshine
Damn sure better than rain
Well now people don't mind
We all get this way sometimes
Got to let your soul shine
Shine till the break of day

I grew up thinkin' that I had it made
Gonna make it on my own
But life can take the strongest man
And make him feel so alone
Now sometimes I feel a cold wind
Blowin' through my achin' bones
I think back to what my daddy said
He said 'Boy, in the darkness before the dawn'

Let your soul shine
It's better than sunshine
It's better than moonshine
Damn sure better than rain
Yeah now people don't mind
We all get this way sometimes
Got to let your soul shine
Shine till the break of day

Sometimes a man can feel this emptiness
Like a woman has robbed him of his very soul
A woman too, God knows, you feel like this (yes you can)
And when your world seems cold
You got to let your spirit take control

Let your soul shine
It's better than sunshine
It's better than moonshine
Damn sure better than rain
Lord now people don't mind
We all get this way sometimes
Got to let your soul shine
Yeah, shine on and on and on

Oh, it's better than sunshine
It's better than moonshine
Damn sure better than rain
Yeah now people don't mind
We all get this way sometimes
Got to let your soul shine
Yeah, shine on and on and on
Shine till the break of day"
125,Drake,Marvins Room,"Hello? Yeah I just walked in.
Yeah I'm good... you still working?
Tonight, right now? Did I go out? Yeah I went out.
I went... I went to a couple of clubs.
I never went to bed, shit... wine or water?
You said something about a cold drink?
I don't know, I'm delirious...

Cups of the Rose, bitches in my old phone
I should call one and go home, I've been in this club too long
The woman that I would try is happy with a good guy
But I've been drinking so much that imma call her anyway and say

Fuck that nigga that you love so bad
I know you still think about the times we had
I say fuck that nigga that you think you found
And since you picked up, I know he's not around

(Are you drunk right now?)
I'm just saying you could do better
Tell me have you heard that lately?
I'm just saying you could do better
And I'll start hating only if you make me

Uh, cups of the XO, all my people been here
I see all of her friends here guess she don't have the time to kick it no more
Flights in the morning, what you doing that's so important?
I've been drinking so much that imma call you anyway and say

Fuck that nigga that you love so bad
I know you still think about the times we had
I say fuck that nigga that you think you found
And since you picked up, I know he's not around

(Are you drunk right now?)
I'm just saying you could do better
Tell me have you heard that lately?
I'm just saying you could do better
And I'll start hating only if you make me

I think I'm addicted to naked pictures
And sitting talking 'bout bitches that we almost had
I don't think I'm conscious of making
Monsters outta the women I sponsor till it all goes bad, but shit, it's all good

We threw a party, yeah, we threw a party
Bitches came over, yeah, we threw a party
I was just calling 'cause they were just leaving
Talk to me please don't have much to believe in

I need you right now, are you down to listen to me?
Too many drinks have been given to me
I got some women that's living off me
Paid for their flights and hotels, I'm ashamed
Bet that you know them, I won't say no names
After a while, girl, they all seem the same

I've had sex four times this week: I'll explain
Having a hard time adjusting to fame
Sprite in that mixture, I've been talking crazy, girl
I'm lucky that you picked up, lucky that you stayed on
I need someone to put this weight on, ""Well I'm sorry.""

(Are you drunk right now?)
I'm just saying you could do better
Tell me have you heard that lately?
I'm just saying you could do better
And I'll start hating only if you make me

You're not going to come?
Guess I'm 'bout to just kick it here then

Just throw up while I hold your hair back
Her white friend said ""You niggas crazy.""
I hope no one heard that, I hope no one heard that
'Cause if they did, we gonna be in some trouble"
126,NAV;Metro Boomin,Held Me Down,-1
127,Drake,Look What You've Done,"It's like '09 in your basement and I'm in love with Nebby
And I still love her but it fell through because I wasn't ready
And your back hurt, and your neck hurt, and you smoking heavy
And I sit next to you, and I lecture you because those are deadly
And then you ash it and we argue about spending money on bullshit
And you tell me I'm just like my father -- my one button, you push it
Now it's ""Fuck you, I hate you, I'll move out in a heartbeat!""
And I leave out and you call me, you tell me that you sorry
You love me, and I love you, and your heart hurts, mine does too
And it's just words and they cut deep but it's our world, it's just us two
I see painkillers on the kitchen counter, I hate to see it all hurt so bad
But maybe I wouldn't have worked this hard
If you were healthy and it weren't so bad
Uh, maybe I should walk up the street, and try and get a job at the bank
Cause leave it up to me, J, and Neeks, we'll probably end up robbing the bank
Then Wayne calls on my phone, conversation wasn't that long
Gets me a flight to Houston in the morning
Oh it's my time, yeah, it's on
He's thinking of signing me, I come home
We make a mixtape with seventeen songs
And almost get a Grammy off of that thing
They love your son -- man, that boy gone
You get the operation you dreamed of
And I finally send you to Rome
I get to make good on my promise
It all worked out girl, we shoulda known
Cause you deserve it

This shit real, should I pinch you?
After all the things that we been through, I got you
Look what you've done, look what you've done
Look what you've done for me now
You knew that I was gonna be something
When you're stressed out and you need something, I got you
Look what you've done, look what you've done

It's like '06 in your backyard, I'm in love with Jade
And I'm still in love, just when it's that real is when it doesn't fade
And my father living in Memphis now -- he can't come this way
Over some minor charges and child support that just wasn't paid
Damn, boo-hoo, sad story, black American dad story
Know that I'm your sister's kid but
It still don't explain the love that you have for me
I remember sneaking in your pool after school dances
Damn your house felt like the Hamptons
For all of my summer romances
I never really had no one like you man this all new, shit
Made the world I knew bigger, changed the way that I viewed it
Had all this fighting going on at the crib
You would calm me down when I lose it
Told you I think I'm done acting, I'm more in touch with the music
You said either way I'll be a star, I could go so far
Talked from me to you, got from me you
You tossed the keys and loaned me your car
Yeah, just a young kid in a drop top
Lexus hopin' that I don't get arrested
Just another kid going through life
So worried that I won't be accepted
But I could do anything, you said that, and you meant that
You took me places, you spent that, they said no, we went back
Checks bounced but we bounced back
I put all the money in your accounts back
And I thank you, I don't know where
I'd really be without that, it worked out man
You deserve it

(Drake's Grandmother)
Hi Aubrey, I'm here sitting with my son having a little talk
And he knows how to get in touch with you now
To let you know how grateful I am for your help
In keeping me in this, in this comfortably
All I can say Aubrey, is I remember the good times we had together
And the times I used to look after you
And I still have wonderful feelings about that
So God bless you, and I hope I'll see you..."
128,A Boogie Wit da Hoodie,Still Think About You,"Now I'm saying what's good with you
I remember being in the hall with you
I still think about you

Fuck all the phony shit
Fuck it I'm stuck on some doly shit
Had a knife in my back when I wrote this shit
I look back and I laugh when I noticed it
I shoot up and lean back on some Kobe Shit
They don't know how to pass on some Kobe shit
Should've listened my mom always told me this
I was only thirteen when she told me this:
""Watch who you fuck with
And never ever trust a nigga for nothing
Even if you feel like you really love her
Don't ever tell that bitch that you really love her
'Cause that's when she's gon' make you feel like you nothing
And that's when you gon' start to feel like you buggin'
I wish I wouldve never told you wassup
And I wish I never even told you pull up

Got me saying what's good with you
I remember being in the hall with you
Everything was always on the stove with you
Girl I even bust a couple jaws with you
I still think about you
Girl I still think about you
Said you always gon' be there for me
Now you gone and you just disappeared on me
Can't believe I really thought you cared for me
You was supposed to be the one that's here with me
I still think about you
Girl I still think about you

I hope that I never see you again
I don't wanna put up with it
I don't wanna fuck with it
Imma just send you this letter whenever I'm done with it
I know you gon' read it
I called you a bitch at the end
I don't know if I mean it
I ain't wanna believe what my niggas was telling me
My nigga I should've cheated
And now I feel stupid
I should've knew better than this
Wasn't the right way to do it
I should've been choosing the money instead of a bitch
Fuck it 'cause I'm getting
Just watch how I do it
I knew I was ready for this
Bitch imma focus on music
You love how I do it
I knew I was ready for this

Got me saying what's good with you
I remember being in the hall with you
Everything was always on the stove with you
Girl I even bust a couple jaws with you
I still think about you
Girl I still think about you
Said you always gon' be there for me
Now you gone and you just disappeared on me
Can't believe I really thought you cared for me
You was supposed to be the one that's here with me
I still think about you
Girl I still think about you

But all I can say is you dumb hard
You got me feeling stupid
You got me singing all these love songs
What the fuck am I doing
I don't know what I'm doing
But I'm going up though I just hope I don't lose it
Bitches picking and choosing
But I know wassup tho
I already been through it
We could've been balling together
Hit up the mall its whatever
You know that I started from nothing
Them bitches was fed up
The way you made all of them jealous
You said that you was gon' ride forever and ever
You told me forever and ever
I should've known you was lied
I should've known better you lied I should've knew better

But still I'm saying what's good with you
I remember being in the hall with you
Everything was always on the stove with you
Girl I Even bust a couple jaws with you
I still think about you
Girl I still think about you
Said you always gon' be there for me
Now you gone and you just disappeared on me
Can't believe I really thought you cared for me
You was supposed to be the one that's here with me
I still think about you
Girl I still think about you

Now I'm saying what's good with you
I remember being in the hall with you
Everything was always on the stove witchu
Even bust a couple jaws witchu
I still think a.
I still think ab...
I still think about you yeah
I still think about you you you you
Had a knife in my back when I wrote this shit
I look back and I dab when I noticed it
I look back and I dab when I noticed it
I look back and I dab when I noticed it
I look back and I laughed when I noticed it

I still think about you you you you
I still think about you you you you
(Now I'm saying what's good witchu)
I still think about you

I look back and I dab when I noticed it"
129,Xxxtentacionn,I Dont Wanna Do This Anymore,-1
130,Wifisfuneral,Wya?,-1
131,blackbear,chateau,"Sweet 23 at the Chateau
Had a heart, man I'm tryna' get it back tho
Tryna' get it back, tryna' get it back, tryna' get it back

Age 25 and I'm rich now
No excuse, you be actin' like a bitch now
I gave you diamond, a pool, write the checklist

She want a ring, ain't fucking with a necklace
I'm a fool for these thangs with the big butts
Take her home, body turn into a rich slut
Feel like I can't trust nobody, even day ones
Watch out for them snake ones

Sweet veintitrés at the Chateau
Had a heart, man I'm tryna' get it back tho
White wedding, white rose, let's go, oh, oh

So please, baby, please, baby, talk slow
Talk slow, I'm off to blow, I'm off to dro', I'm in my zone
Grab your girls, grab your phone, and let's go
Get ready, we going to the Chateau

Legs around my neck
I got your nails up in my back
Get ready, we going to the Chateau
No love, no love, no love, no love
Just fucking in a California king, baby

No love, no love, no love
No love, no love, no love
No love, no love, no love, babe

No love, no love, no love
No love, no love, no love
No love, no love, no love
Fucking in a California king

Sweet 23 at the Chateau
Had a heart, man I'm tryna' get it back tho
Tryna' get it back, tryna' get it back, tryna' get it back

Age 25 and I'm rich now
No excuse, you be actin' like a bitch now
I gave you diamond, a pool, write the checklist

She want a ring, ain't fucking with a necklace
I'm a fool for these thangs with the big butts
Take her home, body turn into a rich slut
Feel like I can't trust nobody, even day ones
Watch out for them snake ones

Sweet veintitrés at the Chateau
Had a heart, man I'm tryna' get it back tho
White wedding, white rose, let's go, oh, oh

So please, baby, please, baby, talk slow
Talk slow, I'm off to blow, I'm off to dro', I'm in my zone
Grab your girls, grab your phone, and let's go
Get ready, we going to the Chateau

Legs around my neck
I got your nails up in my back
Get ready, we going to the Chateau
No love, no love, no love, no love
Just fucking in a California king, baby

No love, no love, no love
No love, no love, no love
No love, no love, no love, babe

No love, no love, no love
No love, no love, no love
No love, no love, no love
Fucking in a California king

White wedding, white rose
White wedding, white rose
White wedding, white rose
White wedding, white rose
White wedding, white rose (rose, rose)"
