,Unnamed: 0,Artist,Song,lyrics
470,470,Maroon 5,She Will Be Loved,"Beauty queen of only eighteen
She had some trouble with herself
He was always there to help her
She always belonged to someone else

I drove for miles and miles
And wound up at your door
I've had you so many times 
But somehow, I want more

I don't mind spending everyday
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay awhile

And she will be loved
And she will be loved

Tap on my window, knock on my door
I want to make you feel beautiful
I know I tend to get so insecure
It doesn't matter anymore

It's not always rainbows and butterflies
It's compromise that moves us along, yeah
My heart is full, and my door's always open
You come anytime you want, yeah

I don't mind spending everyday
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay awhile

And she will be loved
And she will be loved
And she will be loved 
And she will be loved

I know where you hide, alone in your car
Know all of the things that make you who you are
I know that goodbye means nothing at all
Comes back and begs me to catch her every time she falls

Tap on my window, knock on my door
I want to make you feel beautiful

I don't mind spending every day
Out on your corner in the pouring rain, oh
Look for the girl with the broken smile
Ask her if she wants to stay awhile

And she will be loved
And she will be loved
And she will be loved
And she will be loved

Please don't try so hard to say goodbye
Please don't try so hard to say goodbye

I don't mind spending everyday
Out on your corner in the pouring rain

Please don't try so hard to say goodbye"
471,471,The Band Perry,If I Die Young,"If I die young, bury me in satin
Lay me down on a bed of roses
Sink me in the river at dawn
Send me away with the words of a love song
Oh oh, oh oh

Lord, make me a rainbow, I'll shine down on my mother
She'll know I'm safe with you when she stands under my colors
Oh and life ain't always what you think it ought to be, you know
Ain't even grey, but she buries her baby

The sharp knife of a short life
Well, I've had just enough time

If I die young, bury me in satin
Lay me down on a bed of roses
Sink me in the river at dawn
Send me away with the words of a love song

The sharp knife of a short life
Well, I've had just enough time

And I'll be wearing white when I come into your kingdom
I'm as green as the ring on my little cold finger
I've never known the loving of a man
But it sure felt nice when he was holding my hand
There's a boy here in town, says he'll love me forever
Who would have thought forever could be severed by

The sharp knife of a short life
Well, I've had just enough time

So put on your best, boys, and I'll wear my pearls
What I never did is done

A penny for my thoughts, oh no, I'll sell them for a dollar
They're worth so much more after I'm a goner
And maybe then you'll hear the words I've been singing
Funny when you're dead how people start listening

If I die young, bury me in satin
Lay me down on a bed of roses
Sink me in the river at dawn
Send me away with the words of a love song
Oh oh

The ballad of a dove
Go with peace and love
Gather up your tears, keep them in your pocket
Save them for a time when your really gonna need them, oh

The sharp knife of a short life
Well, I've had just enough time

So put on your best, boys, and I'll wear my pearls"
472,472,Sam Tsui,Heaven (originally performed by Bryan Adam)s,"Oh, thinking about all our younger years
There was only you and me
We were young and wild and free

Now nothing can take you away from me 
We've been down that road before 
But that's over now 
You keep me coming back for more 

And baby you're all that I want 
When you're lying here in my arms 
I'm finding it hard to believe 
We're in heaven 
And love is all that I need 
And I've found it there in your heart 
It isn't too hard to see 
We're in heaven 

Oh, once in your life you find someone
Who will turn your world around
Bring you up when you're feeling down

Yeah, nothing can change what you mean to me 
Oh, there's lots that I could say 
But just hold me now 
'Cause our love will light the way 

And baby you're all that I want 
When you're lying here in my arms 
I'm finding it hard to believe 
We're in heaven (yeah)
And love is all that I need 
And I've found it there in your heart 
It isn't too hard to see 
We're in heaven 
Yeah

I've been waiting for so long 
For something to arrive 
For love to come along 
Whoa

Now our dreams are coming true 
Through the good times and the bad 
Yeah, I'll be standing there by you

And baby you're all that I want 
When you're lying here in my arms 
I'm finding it hard to believe 
We're in heaven (yeah, yeah)
Love is all that I need 
And I've found it there in your heart 
It isn't too hard to see 
We're in heaven
Whoa

(Baby you're all that I want)
(When you're lying here in my arms)
And all that I need
(Love is all that I need)
(In your heart)
It's there in your heart
Whoa

Baby you're all that I want
When you're lying here in my arms
I'm finding it hard to believe
We're in heaven"
473,473,Glee Cast,Turning Tables (Glee Cast Version featuring Gwyneth Paltrow),"Holly
Close enough to start a war
All that I have is on the floor
God only knows what we're fighting for
All that I say, you always say more

I can't keep up with your turning tables
Under your thumb, I can't breathe...
So I won't let you close enough to hurt me
No, I won't ask you, you to just desert me
I can't give you what you think you gave me
It's time to say goodbye to turning tables
To turning tables

Under haunted skies I see you
Oooh, where love is lost, your ghost is found
I braved a hundred storms to leave you
As hard as you try, no, I will never be knocked down

I can't keep up with your turning tables
Under your thumb, I can't breathe...
So I won't let you close enough to hurt me
No, I won't ask you, you to just desert me
I can't give you what you think you gave me
It's time to say goodbye to turning tables
To turning tables

Next time I'll be braver, I'll be my own saviour
When the thunder calls for me
Next time I'll be braver, I'll be my own saviour
Standing on my own two feet

I won't let you close enough to hurt me
No, I won't ask you, you to just desert me
I can't give you what you think you gave me
It's time to say goodbye to turning tables
To turning tables
Turning tables, yeah
Turning, yeah..."
474,474,Bruno Mars,It Will Rain,"If you ever leave me, baby
Leave some morphine at my door
'Cause it would take a whole lot of medication
To realize what we used to have, we don't have it anymore

There's no religion that could save me
No matter how long my knees are on the floor, ohohoho
So keep in mind all the sacrifices I'm makin'
Will keep you by my side, will keep you from walkin' out the door

'Cause there'll be no sunlight if I lose you, baby
There'll be no clear skies if I lose you, baby
Just like the clouds my eyes will do the same
If you walk away every day it will rain, rain, rain, heyeyey

I'll never be your mother's favorite
Your daddy can't even look me in the eye
Ooohooohooo, if I was in their shoes, I'd be doing the same thing
Sayin': ""There goes my little girl walkin' with that troublesome guy""

But they're just afraid of something they can't understand
Ooh, but, little darlin', watch me change their minds
Yeah, for you I'll try, I'll try, I'll try, I'll try
I'll pick up these broken pieces till I'm bleeding if that'll make you mine

'Cause there'll be no sunlight if I lose you, baby
There'll be no clear skies if I lose you, baby
Just like the clouds my eyes will do the same
If you walk away every day it will rain, rain, rain, heyeyey

Don't just say (Don't just say) goodbye (Goodbye)
Don't just say (Don't just say) goodbye (Goodbye)
I'll pick up these broken pieces till I'm bleeding if that'll make it right

'Cause there'll be no sunlight if I lose you, baby
There'll be no clear skies if I lose you, baby
Just like the clouds my eyes will do the same
If you walk away every day it will rain, rain, rain, heyeyey"
475,475,Iron & Wine,"Flightless Bird, American Mouth","I was a quick wet boy, diving too deep for coins
All of your street light eyes wide on my plastic toys
Then when the cops closed the fair, I cut my long baby hair
Stole me a dog-eared map and called for you everywhere

Have I found you, flightless bird?
Jealous, weeping
Or lost you, American mouth?
Big pill looming

Now I'm a fat house cat nursing my sore blunt tongue
Watching the warm poison rats curl through the wide fence cracks
Pissing on magazine photos, those fishing lures
Thrown in the cold and clean blood of Christ mountain stream

Have I found you, flightless bird?
Grounded, bleeding
Or lost you, American mouth?
Big pill, stuck going down"
476,476,Sleeping At Last,Turning Page,"I've waited a hundred years.
But I'd wait a million more for you.
Nothing prepared me for
What the privilege of being yours would do.

If I had only felt the warmth within your touch,
If I had only seen how you smile when you blush,
Or how you curl your lip when you concentrate enough,
I would have known what I was living for all along.
What I've been living for.

Your love is my turning page,
Where only the sweetest words remain.
Every kiss is a cursive line,
Every touch is a redefining phrase.

I surrender who I've been for who you are,
For nothing makes me stronger than your fragile heart.
If I had only felt how it feels to be yours,
Well, I would have known what I've been living for all along.
What I've been living for.

Though we're tethered to the story we must tell,
When I saw you, well, I knew we'd tell it well.
With a whisper, we will tame the vicious scenes.
Like a feather bringing kingdoms to their knees"
477,477,Ellie Goulding,Your Song,"It's a little bit funny, this feeling inside
I'm not one of those who can easily hide
I don't have much money, but boy if I did
I'd buy a big house where we both could live

So excuse me forgetting, but these things I do
See I've forgotten if they're green or they're blue
Anyway the thing is what I really mean
Yours are the sweetest eyes I've ever seen

And you can tell everybody this is your song
It may be quite simple, but now that it's done
I hope you don't mind, I hope you don't mind that I put down in words
How wonderful life is now you're in the world

If I was a sculptor, but then again no
Or a girl who makes potions in a traveling show
I know it's not much, but it's the best I can do
My gift is my song, and this one's for you

And you can tell everybody this is your song
It may be quite simple, but now that it's done
I hope you don't mind, I hope you don't mind that I put down in words
How wonderful life is now you're in the world"
478,478,The Fray,You Found Me,"I found God
On the corner of First and Amistad
Where the west
Was all but won
All alone
Smoking his last cigarette
I said, ""Where you been?""
He said, ""Ask anything""

Where were you
When everything was falling apart?
All my days
Were spent by the telephone
That never rang
And all I needed was a call
That never came
From the corner of First and Amistad

Lost and insecure
You found me, you found me
Lying on the floor
Surrounded, surrounded
Why'd you have to wait?
Where were you, where were you?
Just a little late
You found me, you found me

But in the end
Everyone ends up alone
Losing her
The only one who's ever known
Who I am
Who I'm not, and who I wanna be
No way to know
How long she will be next to me

Lost and insecure
You found me, you found me
Lying on the floor
Surrounded, surrounded
Why'd you have to wait?
Where were you, where were you?
Just a little late
You found me, you found me

The early morning
The city breaks
And I've been calling
For years and years and years and years
And you never left me no messages
You never sent me no letters
You got some kind of nerve
Taking all I want

Lost and insecure
You found me, you found me
Lying on the floor
Where were you, where were you?

Lost and insecure
You found me, you found me
Lying on the floor
Surrounded, surrounded
Why'd you have to wait?
Where were you, where were you?
Just a little late
You found me, you found me

Why'd you have to wait
To find me, to find me?"
479,479,Chantal Kreviazuk,Feels Like Home,"Something in your eyes makes me want to lose myself
Makes me want to lose myself in your arms
There's something in your voice
Makes my heart beat fast
Hope this feeling lasts the rest of my life

If you knew how lonely my life has been
And how long I've been so alone
If you knew how I wanted someone to come along
And change my life the way you've done

It Feels like home to me
It Feels like home to me
It Feels like I'm all the way back where I come from

It Feels like home to me
It Feels like home to me
It Feels like I'm all the way back where I belong

A window breaks down a long dark street
And a siren wails in the night
But I'm all right 'cause I have you here with me
And I can almost see through the dark there is light

If you knew how much this moment means to me
And how long I've waited for your touch
If you knew how happy you are making me
I never thought that I'd love anyone so much

It Feels like home to me
It Feels like home to me
It Feels like I'm all the way back where I come from

It Feels like home to me
It Feels like home to me
It Feels like I'm all the way back where I belong
It Feels like I'm all the way back where I belong"
480,480,The Script;will.i.am,Hall of Fame,"Yeah, you could be the greatest
You can be the best
You can be the King Kong banging on your chest

You could beat the world
You could beat the war
You could talk to God, go banging on His door

You can throw your hands up
You can beat the clock
You can move a mountain
You can break rocks

Some will call it practice
Some will call it luck
But either way your going to the history books

Standing in the hall of fame (yeah)
And the world's gonna know your name (yeah)
'Cause you burn with the brightest flame (yeah)
And the world's gonna know your name (yeah)
And you'll be on the walls of the hall of fame

You can go the distance
You can run the mile
You can walk straight through hell with a smile

You can be a hero
You can get the gold
Breaking all the records they thought never could be broke

Do it for your people
Do it for your pride
How are you ever gonna know if you never even try?

Do it for your country
Do it for your name
'Cause there's gon' be a day when you're...

Standing in the hall of fame (yeah)
And the world's gonna know your name (yeah)
'Cause you burn with the brightest flame (yeah)
And the world's gonna know your name (yeah)
And you'll be on the walls of the hall of fame

On the walls of the hall of fame

Be students
Be teachers
Be politicians
Be preachers

Be believers
Be leaders
Be astronauts
Be champions
Be truth seekers

Be students
Be teachers
Be politicians
Be preachers

Be believers
Be leaders
Be astronauts
Be champions

Standing in the hall of fame (yeah)
And the world's gonna know your name (yeah)
'Cause you burn with the brightest flame (yeah)
And the world's gonna know your name (yeah)
And you'll be on the walls of the hall of fame

You could be the greatest
You can be the best
You can be the King Kong banging on your chest

You could beat the world
You could beat the war
You could talk to God, go banging on His door

You can throw your hands up
You can beat the clock
You can move a mountain
You can break rocks

Some will call it practice
Some will call it luck
But either way your going to the history books

Standing in the hall of fame"
481,481,The Script,Breakeven,"I'm still alive but I'm barely breathing
Just praying to a god that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks, no, it don't break even

Her best days will be some of my worst
She finally met a man who's gonna put her first
While I'm wide awake, she's no trouble sleeping
'Cause when a heart breaks, no, it don't break even, even, no

What am I supposed to do
When the best part of me was always you?
And what am I supposed to say
When I'm all choked up that you're okay?
I'm falling to pieces, yeah
I'm falling to pieces

They say bad things happen for a reason
But no wise words gonna stop the bleeding
'Cause she's moved on while I'm still grieving
And when a heart breaks, no, it don't break even, even, no

And what am I gonna do
When the best part of me was always you?
And what am I supposed to say
When I'm all choked up that you're okay

I'm falling to pieces, yeah
I'm falling to pieces, yeah
I'm falling to pieces
(One still in love while the other one's leaving)
I'm falling to pieces
('Cause when a heart breaks, no, it don't break even)

Oh you got his heart and my heart and none of the pain
You took your suitcase, I took the blame
Now I'm tryin' to make sense of what little remains
Oh 'cause you left me with no love, and no love to my name

I'm still alive but I'm barely breathing
Just praying to a god that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks no, it don't break
No it don't break, no it don't break even no

What am I gonna do
When the best part of me was always you?
And what am I supposed to say
When I'm all choked up and you're okay?

I'm falling to pieces, yeah
I'm falling to pieces, yeah
I'm falling to pieces
(One still in love while the other one's leaving)
I'm falling to pieces
('Cause when a heart breaks, no, it don't break even)

Oh, it don't break even, no
Oh, it don't break even, no
Oh, it don't break even, no"
482,482,Christina Aguilera,Sing For Me,"Sometimes when I'm sitting on my bed
Feeling so so lonely
Wishing someone hold me
All I have is three little notes playing in my head

Outside I can cover all the scars
Inside lie the words just pleading to be heard
Cause all I have are three little melodies to kill all the hurt
Now I'm ready gonna sing 'em all out
Sing 'em out just to myself
I don't even care what the world thinks about how I sound

'Cause when I open my mouth
My whole heart comes out
Every tear I wanna cry is satisfied
I'm singing till I'm winning Imma sing all night
'Cause when I open my mouth
There's no place to hide
Everything that I've been feeling runs wild and free
I'm singing 'cause I'm winning Imma sing for me

I stand and believe in who I am
Take shots at my heart but who am I to give up
Everybody needs a melody to set their souls free
My stage is the greatest in the world
Give back to the ones who struggle with me stay true
Reminding me to see my only chosen destiny

And now I'm ready now I'm gonna sing it all out
Sing it out just for myself
I don't even care what the world thinks about how I sound

'Cause when I open my mouth
My whole heart comes out
Every tear I wanna cry is satisfied
I'm singing till I'm winning Imma sing all night
'Cause when I open my mouth
There's no place to hide
Everything that I've been feeling runs wild and free
I'm singing 'cause I'm winning Imma sing for me

Sing for me
Sing for myself
Sing with harmony
Make my whole heart come out
Right where I am let the rain come down
Sing for me
Sing for myself sing with harmony
Make my whole heart come out
Right here right now make my on very own sound

'Cause when I open my mouth
My whole heart comes out
Every tear I wanna cry is satisfied
I'm singing till I'm winning Imma sing all night
'Cause when I open my mouth
There's no place to hide
Everything that I've been feeling runs wild and free
I'm singing 'cause I'm winning Imma sing for me"
483,483,Christina Aguilera;Blake Shelton,Just A Fool,"Another shot of whisky, please, bartender
Keep it coming 'til I don't remember at all
How bad it hurts when you're gone (na na na)

Turn the music up a little bit louder
Just gotta get past the midnight hour (uh huh)
Maybe tomorrow it won't
Be
This
Hard
Who am I kidding?
I know what I'm missing

You
I had my heart set on you
But nothing else hurts like you do
Who knew that love was so cruel
(Yeah yeah yeah)
And I
Waited and waited so long
For someone to never come home
It's my fault to think you'll be true (yeah yeah)
I'm just a fool
(Yeah)

I said that I don't care
I'd walk away whatever
And I tell myself we were bad together (uh huh)
But that's just me trying to move on
With
Out
You
But who am I kidding?
I know what I'm missing

Hey
I had my heart set on you
But nothing else hurts like you do
Who know that love was so cruel
(Yeah yeah yeah)
And I
Waited and waited so long
For someone who never comes home
It's my fault to think you'll be true (yeah yeah)
I'm just a fool

For holding on to something that
Is never ever gonna come back
I can't accept that it's lost

I should have let it go
Held my tongue
Can't fight the motion
Cause now everything's so wrong
I'm thrown

I'm just a fool
A fool for you
I'm just a fool

I had my heart set on you
And nothing else hurts like you do
Who knew that love was so cruel
(Yeah yeah yeah)
And I
Waited and waited so long
For someone who never comes home
It's my fault to think you'll be true (yeah yeah)
I'm just a fool
I'm just a fool
I'm just a fool

It's my fault to think you'll be true
(Yeah yeah yeah)
I'm just a fool"
484,484,Christina Perri;Steve Kazee,A Thousand Years (feat. Steve Kazee) - Part 2,"Heart beats fast, colors and promises
How to be brave, how can I love when I'm afraid to fall
But watching you stand alone, all of my doubt suddenly goes away
Somehow, one step closer

I have died everyday waiting for you
Darling, don't be afraid, I have loved you
For a thousand years
I'll love you for a thousand more

Time stands still, beauty in all she is
I will be brave, I will not let anything take away
Standing in front of me, every breath
Every hour has come to this, one step closer

I have died everyday waiting for you
Darling, don't be afraid, I have loved you
For a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more, one step closer, one step closer

I have died everyday waiting for you
Darling, don't be afraid, I have loved you
For a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more"
485,485,Iko,Heart Of Stone,"Can you keep a secret
Will it hold your hand
Among the flames
Honey you're a shipwreck
With your heart of stone

Can I get a witness
To the bruises
And the wasted tears
You could dry a river
With your heart of stone
With your heart of stone

I can breathe
I can breathe, water, water
I can breathe
I can breathe, water, water
When you're here with me
You're not here with me

Can I pry your fingers
From everything I, I say and do
And I just can't forget you
And your heart of stone

I can breathe
I can breathe, water, water
I can breathe
I can breathe, water, water
I can breathe
I can breathe, water, water
I can breathe
I can breathe, water

When you're here with me
You're not here with me"
486,486,Labrinth;Emeli Sand̩,Beneath Your Beautiful,"You tell all the boys no
Makes you feel good, yeah
I know you're out of my league
But that won't scare me away, oh no

You've carried on so long
You couldn't stop if you tried it
You've built your wall so high
That no one could climb it
But I'm gonna try

Would you let me see beneath your beautiful?
Would you let me see beneath your perfect?
Take it off now girl, take it off now girl
I wanna see inside
Would you let me see beneath your beautiful tonight?

You let all the girls go
Makes you feel good, don't it?
Behind your Broadway show
I heard a voice say ""Please don't hurt me""

You've carried on so long
You couldn't stop if you tried it
You've built your wall so high
That no one could climb it
But I'm gonna try

Would you let me see beneath your beautiful?
Would you let me see beneath your perfect?
Take it off now boy, take it off now boy
I wanna see inside
Would you let me see beneath your beautiful tonight?
Oh, tonight

See beneath, see beneath


I

Tonight

I

I'm gonna climb on top your ivory tower
I'll hold your hand and then we'll jump right out

We'll be falling, falling
But that's okay
'Cause I'll be right here
I just wanna know

Would you let me see beneath your beautiful?
Would you let me see beneath your perfect?
Take it off now girl, take it off now girl
'Cause I wanna see inside

Would you let me see beneath your beautiful tonight?
Tonight, see beneath your beautiful
Oh tonight, we ain't perfect, we ain't perfect
Would you let me see beneath your beautiful tonight?"
487,487,Passenger,Let Her Go,"Well you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

And you let her go

Staring at the bottom of your glass
Hoping one day, you'll make a dream last
But dreams come slow and they go so fast

You see her when you close your eyes
Maybe one day you'll understand why
Everything you touch surely dies

But you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

Staring at the ceiling in the dark
Same old empty feeling in your heart
'Cause love comes slow and it goes so fast

Well you see her when you fall asleep
But never to touch and never to keep
'Cause you loved her too much and you dived too deep

Well you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

And you let her go
And you let her go
Well you let her go

'Cause you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

'Cause you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

And you let her go"
488,488,Chris Brown,Stuck On Stupid,"Am I crazy? Am I foolish?
Just a little too into you
That's for sure
(Ooh babe)
But your beauty,
That is in me
Makes me forget about your faults
You do no wrong
Ooh whoa ooh oh hoh oh

They say everybody plays the fool sometimes
And if I got to,
I don't mind
I'll be the best damn fool for you,
No lie
And girl I lose it every time

There's something about you, baby
And I swear that it drives me crazy
I'm stuck on you baby,
Stuck on you baby
And I might need help,
'Cause I can't think of nothing else
You got me stuck on stupid,
Stuck on stupid for you
Look what you do to me

It's confusing,
How you do it
It's like you take my heart and glue it to your soul,
Yeah baby
And I'll do anything for you,
Ooh you know that much it's true
Girl I'm so in love,
I'm stupid

They say everybody plays the fool sometimes
And if I got to,
I don't mind
I'll be the best damn fool for you,
No lie
And girl I lose it every time

There's something about you, baby
And I swear that it drives me crazy
I'm stuck on you baby,
Stuck on you baby
And I might need help,
'Cause I can't think of nothing else
You got me stuck on stupid,
Stuck on stupid for you
Ooh ooh ooh
Look what you do to me

If you told me to go rock climbing
To prove my love to you
You know I would've died trying
Got everything to lose
I'm gon' try to play it cool
The stupid things I do,
I do it for you

There's something about you, baby
And I swear that it drives me crazy
I'm stuck on you baby,
Stuck on you baby
And I might need help,
'Cause I can't think of nothing else
You got me stuck on stupid,
Stuck on stupid for you
Look what you do to me"
489,489,The Lumineers,Ho Hey,"(Ho!)
(Hey!)
(Ho!)
(Hey!)

(Ho!) I've been trying to do it right
(Hey!) I've been living a lonely life
(Ho!) I've been sleeping here instead
(Hey!) I've been sleeping in my bed
(Ho!) Been sleeping in my bed
(Hey!)
(Ho!)

(Ho!) So show me family
(Hey!) All the blood that I would bleed
(Ho!) I don't know where I belong
(Hey!) I don't know where I went wrong
(Ho!) But I can write a song
(Hey!)

(One, two, three)
I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweet

(Ho!)
(Hey!)
(Ho!)
(Hey!)

(Ho!) I don't think you're right for him
(Hey!) Look at what it might have been if you
(Ho!) Took a bus to Chinatown
(Hey!) I'd be standing on Canal
(Ho!) And Bowery
(Hey!)
(Ho!) And she'd be standing next to me
(Hey!)

(One, two, three)
I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweetheart

Love, we need it now
Let's hope for some
'Cause oh, we're bleeding out

I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweet

(Ho!)
(Hey!)
(Ho!)
(Last one...)
(Hey!)"
492,492,Birdy,Skinny Love,"Come on, skinny love, just last the year
Pour a little salt, we were never here
My my my, my my my, my my my, my
Staring at the sink of blood and crushed veneer

I tell my love to wreck it all
Cut out all the ropes and let me fall
My my my, my my my, my my my, my
Right at the moment, this order's tall

And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind

And in the morning, I'll be with you
But it will be a different kind
'Cause I'll be holding all the tickets
And you'll be owning all the fines

Come on, skinny love, what happened here?
Suckle on the hope in light brassiere
My my my, my my my, my my my, my
Sullen load is full, so slow on the split

And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind

And now all your love is wasted
Then who the hell was I?
'Cause now I'm breaking at the britches
And at the end of all your lines

Who will love you?
Who will fight?
And who will fall far behind?

Come on skinny love
My my my, my my my, my my my, my
My my my, my my my, my my my, my"
493,493,Ed Sheeran,Give Me Love,"Give me love like her
'Cause lately I've been waking up alone
Paint splattered teardrops on my shirt
Told you I'd let them go

And that I'll fight my corner
Maybe tonight I'll call ya
After my blood turns into alcohol
No, I just wanna hold ya

Give a little time to me or burn this out
We'll play hide and seek to turn this around
All I want is the taste that your lips allow
My, my-y, my, my-y, oh, give me love
My, my-y, my, my-y, oh, give me love
My, my-y, my, my-y, give me love

Give me love like never before
'Cause lately I've been craving more
And it's been a while but I still feel the same
Maybe I should let you go

You know I'll fight my corner
And that tonight I'll call ya
After my blood is drowning in alcohol
No, I just wanna hold ya

Give a little time to me or burn this out
We'll play hide and seek to turn this around
All I want is the taste that your lips allow
My, my-y, my, my-y, oh, give me love

Give a little time to me or burn this out
We'll play hide and seek to turn this around
All I want is the taste that your lips allow
My, my-y, my, my-y, oh, give me love
My, my-y, my, my-y, oh, give me love
My, my-y, my, my-y, give me love

Mm-my, my, mm-my, my, mm-my, my, give me love, lover
Mm-my, my, mm-my, my, mm-my, my, give me love, lover
Mm-my, my, mm-my, my, mm-my, my, give me love, lover
Mm-my, my, mm-my, my, mm-my, my, give me love, lover

Mm-my, my, mm-my, my, mm-my, my, give me love, lover
Mm-my, my, mm-my, my, mm-my, my, give me love, lover
Mm-my, my, mm-my, my, mm-my, my, give me love, lover
Mm-my, my, mm-my, my, mm-my, my, give me love, lover
(Love me, love me, love me)

Mm-my, my, mm-my, my, mm-my, my, give me love, lover
(Give me love)
Mm-my, my, mm-my, my, mm-my, my, give me love, lover
(Give me love)
Mm-my, my, mm-my, my, mm-my, my, give me love, lover
(Give me love, love me)
Mm-my, my, mm-my, my, mm-my, my, give me love, lover
(Give me love)

My, my-y, my, my-y, oh, give me love
My, my-y, my, my-y, oh, give me love
My, my-y, my, my-y, oh, give me love
My, my-y, my, my-y, oh, give me love"
494,494,Ron Pope,A Drop In The Ocean,"A drop in the ocean,
A change in the weather,
I was praying that you and me might end up together.
It's like wishing for rain as I stand in the desert,
But I'm holding you closer than most,
'Cause you are my heaven.

I don't wanna waste the weekend,
If you don't love me, pretend
A few more hours, then it's time to go.
And as my train rolls down the East coast,
I wonder how you keep warm.
It's too late to cry, too broken to move on.

Still I can't let you be,
Most nights I hardly sleep.
Don't take what you don't need, from me.

Just a drop in the ocean,
A change in the weather,
I was praying that you and me might end up together.
It's like wishing for rain as I stand in the desert,
But I'm holding you closer than most,
'Cause you are my heaven.

Misplaced trust and old friends,
Never counting regrets,
By the grace of God, I do not rest at all.
And New England as the leaves change;
The last excuse that I'll claim,
I was a boy who loved a woman like a little girl.

Still I can't let you be,
Most nights I hardly sleep,
Don't take what you don't need, from me.

A drop in the ocean,
A change in the weather,
I was praying that you and me might end up together.
It's like wishing for rain as I stand in the desert,
But I'm holding you closer than most,
'Cause you are my

Heaven doesn't seem far away anymore no, no
Heaven doesn't seem far away.
Heaven doesn't seem far away anymore no, no
Heaven doesn't seem far away.

Aooo
Aooo

A drop in the ocean,
A change in the weather,
I was praying that you and me might end up together.
It's like wishing for rain as I stand in the desert,
But I'm holding you closer than most,
'Cause you are my heaven.
You are my heaven"
495,495,Ed Sheeran,I See Fire,"Oh misty eye of the mountain below
Keep careful watch of my brothers' souls
And should the sky be filled with fire and smoke
Keep watching over Durin's sons

If this is to end in fire then we shall all burn together
Watch the flames climb high into the night
Calling out father oh, stand by and we will
Watch the flames burn auburn on the mountainside

And if we should die tonight, we should all die together
Raise a glass of wine for the last time
Calling out father oh, prepare as we will
Watch the flames burn auburn on the mountainside
Desolation comes upon the sky

Now I see fire
Inside the mountain, I see fire
Burning the trees
And I see fire
Hollowing soul
I see fire
Blood in the breeze
And I hope that you remember me

Oh should my people fall then surely I'll do the same
Confined in mountain halls, we got too close to the flame
Calling out father oh, hold fast and we will
Watch the flames burn auburn on the mountainside
Desolation comes upon the sky

Now I see fire
Inside the mountain
I see fire
Burning the trees
And I see fire
Hollowing soul
I see fire
Blood in the breeze
And I hope that you remember me

And if the night is burning I will cover my eyes
For if the dark returns then my brothers will die
And as this sky is falling down, it crashed into this lonely town
And with that shadow upon the ground I hear my people screaming out

And I see fire
Inside the mountains
I see fire
Burning the trees
I see fire
Hollowing souls
I see fire
Blood in the breeze

I see fire
Oh you know I saw a city burning (Fire)
And I see fire
Feel the heat upon my skin (Fire)
And I see fire
Oh (Fire)
And I see fire burn auburn on the mountainside"
496,496,Sam Smith,Stay With Me,"Guess it's true, I'm not good at a one-night stand
But I still need love 'cause I'm just a man
These nights never seem to go to plan
I don't want you to leave, will you hold my hand?

Oh, won't you stay with me?
'Cause you're all I need
This ain't love it's clear to see
But darling, stay with me

Why am I so emotional?
No it's not a good look, gain some self control
And deep down I know this never works
But you can lay with me so it doesn't hurt

Oh, won't you stay with me?
'Cause you're all I need
This ain't love it's clear to see
But darling, stay with me

Oh, won't you stay with me?
'Cause you're all I need
This ain't love it's clear to see
But darling, stay with me

Oh, won't you stay with me?
'Cause you're all I need
This ain't love it's clear to see
But darling, stay with me"
